rep,latent_dim,embed_dim,timesteps,n,error,ood_error,total_cost,system_seed,model_seed,id,control_horizon
3,5,5,50,100,1.4878250057674765e-07,1.3733117755536941e-07,0,4181813784,2495532674,fts_lds_lr_n=100,0
3,10,10,50,100,7.661851941186018e-09,9.600466490763769e-09,0,4068309098,2457288084,fts_lds_lr_n=100,0
3,20,20,50,100,4.540645540678053e-07,4.5451421090841434e-07,0,2561826461,2576603593,fts_lds_lr_n=100,0
4,5,5,50,100,9.981023700644403e-08,1.1597555882391971e-07,0,1769005263,3325387848,fts_lds_lr_n=100,0
4,10,10,50,100,8.396276810209091e-07,9.418400296821086e-07,0,3394154446,2298873107,fts_lds_lr_n=100,0
4,20,20,50,100,1.0440966878724802e-07,1.0103566210698621e-07,0,3972175078,3110683414,fts_lds_lr_n=100,0
5,5,5,50,100,3.590685186987858e-07,4.288619563047475e-07,0,3909877870,4276830096,fts_lds_lr_n=100,0
5,10,10,50,100,8.633447643848703e-08,7.977236227348658e-08,0,14996599,552091481,fts_lds_lr_n=100,0
5,20,20,50,100,2.859494456911021e-07,3.011300777477857e-07,0,2955600847,2155842018,fts_lds_lr_n=100,0
