,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,2,2,50,7.187240419103569e-07,0,"LR (2, True)"
1,0,10,2,2,50,3.5340471316729745e-07,0,"LR (2, True)"
2,0,100,2,2,50,4.5062952849938076e-07,0,"LR (2, True)"
0,1,1,2,2,50,0.06989477124927908,0,"LR (2, True)"
1,1,10,2,2,50,6.533527938290217e-07,0,"LR (2, True)"
2,1,100,2,2,50,1.6795702407646765e-07,0,"LR (2, True)"
0,2,1,2,2,50,0.00016076903647940948,0,"LR (2, True)"
1,2,10,2,2,50,1.7190462510245035e-05,0,"LR (2, True)"
2,2,100,2,2,50,1.3549744166140094e-05,0,"LR (2, True)"
0,3,1,2,2,50,2.7190666828521973e-06,0,"LR (2, True)"
1,3,10,2,2,50,3.2615935643189823e-07,0,"LR (2, True)"
2,3,100,2,2,50,2.848710947166784e-07,0,"LR (2, True)"
0,4,1,2,2,50,0.0009665703524529478,0,"LR (2, True)"
1,4,10,2,2,50,4.3598605915344274e-07,0,"LR (2, True)"
2,4,100,2,2,50,3.1347471984864245e-07,0,"LR (2, True)"
0,5,1,2,2,50,0.004831735792186819,0,"LR (2, True)"
1,5,10,2,2,50,2.932458142800973e-07,0,"LR (2, True)"
2,5,100,2,2,50,3.227382308121233e-07,0,"LR (2, True)"
0,6,1,2,2,50,4.008029594570602e-05,0,"LR (2, True)"
1,6,10,2,2,50,1.30030304927062e-06,0,"LR (2, True)"
2,6,100,2,2,50,7.440713057363575e-07,0,"LR (2, True)"
0,7,1,2,2,50,4.041774536531896e-06,0,"LR (2, True)"
1,7,10,2,2,50,3.8803550444512896e-07,0,"LR (2, True)"
2,7,100,2,2,50,4.865321614990457e-07,0,"LR (2, True)"
0,8,1,2,2,50,1.505540641424791e-06,0,"LR (2, True)"
1,8,10,2,2,50,1.5380861875046126e-06,0,"LR (2, True)"
2,8,100,2,2,50,1.0213797575885986e-06,0,"LR (2, True)"
0,9,1,2,2,50,0.1891632610336898,0,"LR (2, True)"
1,9,10,2,2,50,3.7377022090931655e-07,0,"LR (2, True)"
2,9,100,2,2,50,3.413281971880001e-07,0,"LR (2, True)"
0,10,1,2,2,50,0.0007290564815864178,0,"LR (2, True)"
1,10,10,2,2,50,5.141509750535461e-07,0,"LR (2, True)"
2,10,100,2,2,50,6.05223062777345e-07,0,"LR (2, True)"
0,11,1,2,2,50,0.00043902731116849265,0,"LR (2, True)"
1,11,10,2,2,50,1.912664813705624e-06,0,"LR (2, True)"
2,11,100,2,2,50,2.2378945362840635e-07,0,"LR (2, True)"
0,12,1,2,2,50,0.001022027919477666,0,"LR (2, True)"
1,12,10,2,2,50,4.5402598693319964e-07,0,"LR (2, True)"
2,12,100,2,2,50,4.954548406653607e-07,0,"LR (2, True)"
0,13,1,2,2,50,0.0005751335650041725,0,"LR (2, True)"
1,13,10,2,2,50,5.12442669423726e-07,0,"LR (2, True)"
2,13,100,2,2,50,3.489929690141478e-07,0,"LR (2, True)"
0,14,1,2,2,50,4.082605060341837e-07,0,"LR (2, True)"
1,14,10,2,2,50,1.1390560861211487e-07,0,"LR (2, True)"
2,14,100,2,2,50,1.0362369708441451e-07,0,"LR (2, True)"
0,15,1,2,2,50,0.0032571463273766226,0,"LR (2, True)"
1,15,10,2,2,50,2.077639630996159e-06,0,"LR (2, True)"
2,15,100,2,2,50,2.424623169846343e-06,0,"LR (2, True)"
0,16,1,2,2,50,0.00024512990858338763,0,"LR (2, True)"
1,16,10,2,2,50,3.940252047090377e-06,0,"LR (2, True)"
2,16,100,2,2,50,3.7947703510545593e-06,0,"LR (2, True)"
0,17,1,2,2,50,4.039658950937042e-06,0,"LR (2, True)"
1,17,10,2,2,50,9.63595301193985e-07,0,"LR (2, True)"
2,17,100,2,2,50,9.43449237774172e-07,0,"LR (2, True)"
0,18,1,2,2,50,1.5207739963531428e-05,0,"LR (2, True)"
1,18,10,2,2,50,1.0872095525404554e-06,0,"LR (2, True)"
2,18,100,2,2,50,5.397400422741971e-07,0,"LR (2, True)"
0,19,1,2,2,50,0.03735323577533529,0,"LR (2, True)"
1,19,10,2,2,50,2.908069712736906e-07,0,"LR (2, True)"
2,19,100,2,2,50,2.922100692543319e-07,0,"LR (2, True)"
0,20,1,2,2,50,1.1477610656502282e-05,0,"LR (2, True)"
1,20,10,2,2,50,8.235755024660831e-06,0,"LR (2, True)"
2,20,100,2,2,50,6.7065572006182155e-06,0,"LR (2, True)"
0,21,1,2,2,50,1.8377065368280766e-07,0,"LR (2, True)"
1,21,10,2,2,50,1.470074687545238e-07,0,"LR (2, True)"
2,21,100,2,2,50,1.2423427705313022e-07,0,"LR (2, True)"
0,22,1,2,2,50,4.777859431777261e-06,0,"LR (2, True)"
1,22,10,2,2,50,5.673839857938243e-07,0,"LR (2, True)"
2,22,100,2,2,50,4.1314238804569127e-07,0,"LR (2, True)"
0,23,1,2,2,50,9.916961058496358e-07,0,"LR (2, True)"
1,23,10,2,2,50,4.454072845482865e-07,0,"LR (2, True)"
2,23,100,2,2,50,5.305406316444828e-07,0,"LR (2, True)"
0,24,1,2,2,50,0.0008598493669735212,0,"LR (2, True)"
1,24,10,2,2,50,8.37316142935551e-07,0,"LR (2, True)"
2,24,100,2,2,50,8.920208475974571e-07,0,"LR (2, True)"
0,25,1,2,2,50,8.150954371784434e-05,0,"LR (2, True)"
1,25,10,2,2,50,3.384187889959079e-07,0,"LR (2, True)"
2,25,100,2,2,50,2.544734207325263e-07,0,"LR (2, True)"
0,26,1,2,2,50,9.617654756967096e-06,0,"LR (2, True)"
1,26,10,2,2,50,3.224167583760726e-07,0,"LR (2, True)"
2,26,100,2,2,50,3.489734114910924e-07,0,"LR (2, True)"
0,27,1,2,2,50,4.7875431914251605e-06,0,"LR (2, True)"
1,27,10,2,2,50,5.987568801489688e-07,0,"LR (2, True)"
2,27,100,2,2,50,3.909915331805602e-07,0,"LR (2, True)"
0,28,1,2,2,50,3.3173059109544274e-06,0,"LR (2, True)"
1,28,10,2,2,50,1.448301260522828e-06,0,"LR (2, True)"
2,28,100,2,2,50,1.6754238734414784e-06,0,"LR (2, True)"
0,29,1,2,2,50,1.4618807290186009e-05,0,"LR (2, True)"
1,29,10,2,2,50,3.900778440552301e-07,0,"LR (2, True)"
2,29,100,2,2,50,2.3542646734237096e-07,0,"LR (2, True)"
