,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
75,3.0,18,100,5,5,50,0,25651993787.24625,0,LR (TLN)
76,0.0,19,3,5,5,50,0,362797.4638320453,0,LR (TLN)
77,1.0,19,10,5,5,50,0,0.628898477690248,0,LR (TLN)
78,2.0,19,50,5,5,50,0,21570.3521964896,0,LR (TLN)
79,3.0,19,100,5,5,50,0,9.985862842100158,0,LR (TLN)
80,0.0,20,3,5,5,50,0,1.818349622393418e+26,0,LR (TLN)
81,1.0,20,10,5,5,50,0,6.826662069899659,0,LR (TLN)
82,2.0,20,50,5,5,50,0,265.7383598118695,0,LR (TLN)
83,3.0,20,100,5,5,50,0,13.853922507493326,0,LR (TLN)
84,0.0,21,3,5,5,50,0,2.3184569183631227,0,LR (TLN)
85,1.0,21,10,5,5,50,0,1.4366409613325617,0,LR (TLN)
86,2.0,21,50,5,5,50,0,3.037797729088122,0,LR (TLN)
87,3.0,21,100,5,5,50,0,22.64314915486589,0,LR (TLN)
88,0.0,22,3,5,5,50,0,194778750205071.6,0,LR (TLN)
89,1.0,22,10,5,5,50,0,9186370630.52415,0,LR (TLN)
90,2.0,22,50,5,5,50,0,36788204.86699571,0,LR (TLN)
91,3.0,22,100,5,5,50,0,6.97251470729428,0,LR (TLN)
92,0.0,23,3,5,5,50,0,0.2766924209338415,0,LR (TLN)
93,1.0,23,10,5,5,50,0,2.692934754784012e+48,0,LR (TLN)
94,2.0,23,50,5,5,50,0,139181.4426364241,0,LR (TLN)
95,3.0,23,100,5,5,50,0,7.027763063273409,0,LR (TLN)
96,0.0,24,3,5,5,50,0,3127001.5084344475,0,LR (TLN)
97,1.0,24,10,5,5,50,0,9.626828021332836e+17,0,LR (TLN)
98,2.0,24,50,5,5,50,0,1.4742902494405483e+24,0,LR (TLN)
99,3.0,24,100,5,5,50,0,58.5491238251257,0,LR (TLN)
100,0.0,25,3,5,5,50,0,0.8191707546678529,0,LR (TLN)
101,1.0,25,10,5,5,50,0,737446.9719915255,0,LR (TLN)
102,2.0,25,50,5,5,50,0,30361244.11114048,0,LR (TLN)
103,3.0,25,100,5,5,50,0,60.42439644560729,0,LR (TLN)
104,0.0,26,3,5,5,50,0,0.8147262939740016,0,LR (TLN)
105,1.0,26,10,5,5,50,0,370436.7981853104,0,LR (TLN)
106,2.0,26,50,5,5,50,0,32839.03734542493,0,LR (TLN)
107,3.0,26,100,5,5,50,0,170428638.7193419,0,LR (TLN)
108,0.0,27,3,5,5,50,0,6.017493234522754e+16,0,LR (TLN)
109,1.0,27,10,5,5,50,0,194.8399092863379,0,LR (TLN)
110,2.0,27,50,5,5,50,0,2.5598555939528183e+20,0,LR (TLN)
111,3.0,27,100,5,5,50,0,3.9980896386589593,0,LR (TLN)
112,0.0,28,3,5,5,50,0,255581.701232915,0,LR (TLN)
113,1.0,28,10,5,5,50,0,378.9926583441632,0,LR (TLN)
114,2.0,28,50,5,5,50,0,32.22299804719135,0,LR (TLN)
115,3.0,28,100,5,5,50,0,52.07788040214706,0,LR (TLN)
116,0.0,29,3,5,5,50,0,16.39421640470798,0,LR (TLN)
117,1.0,29,10,5,5,50,0,25582586.04018549,0,LR (TLN)
118,2.0,29,50,5,5,50,0,222.58651991128264,0,LR (TLN)
119,3.0,29,100,5,5,50,0,7.263256990286015,0,LR (TLN)
120,0.0,30,3,5,5,50,0,1.845451658242633,0,LR (TLN)
121,1.0,30,10,5,5,50,0,2870.612245988169,0,LR (TLN)
122,2.0,30,50,5,5,50,0,25.07310347556365,0,LR (TLN)
123,3.0,30,100,5,5,50,0,280013964637.9851,0,LR (TLN)
124,0.0,31,3,5,5,50,0,325130680708.78284,0,LR (TLN)
125,1.0,31,10,5,5,50,0,42338.992785351744,0,LR (TLN)
126,2.0,31,50,5,5,50,0,1264244.534295831,0,LR (TLN)
127,3.0,31,100,5,5,50,0,7.8062964428114e+19,0,LR (TLN)
128,0.0,32,3,5,5,50,0,4.988648646497705e+22,0,LR (TLN)
129,1.0,32,10,5,5,50,0,62.49964631393298,0,LR (TLN)
130,2.0,32,50,5,5,50,0,4123309.816713491,0,LR (TLN)
131,3.0,32,100,5,5,50,0,56.4888314048434,0,LR (TLN)
132,0.0,33,3,5,5,50,0,4.276745268970965e+16,0,LR (TLN)
133,1.0,33,10,5,5,50,0,233.6281002505645,0,LR (TLN)
134,2.0,33,50,5,5,50,0,2.284390133093299,0,LR (TLN)
