,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
144,144.0,0.0,,,24,1000,500,500,50,0,inf,0,"LR (500, True)"
145,145.0,0.0,,,25,1000,500,500,50,0,inf,0,"LR (500, True)"
146,146.0,0.0,,,26,1000,500,500,50,0,inf,0,"LR (500, True)"
147,147.0,0.0,,,27,1000,500,500,50,0,6.545271339039631e+85,0,"LR (500, True)"
148,148.0,0.0,,,28,1000,500,500,50,0,inf,0,"LR (500, True)"
149,149.0,0.0,,,29,1000,500,500,50,0,inf,0,"LR (500, True)"
150,0.0,,,,0,1000,500,500,50,0,5.717677773544072e+297,0,"LR (500, True)"
151,0.0,,,,1,1000,500,500,50,0,2.5557225145207477e+156,0,"LR (500, True)"
152,0.0,,,,2,1000,500,500,50,0,inf,0,"LR (500, True)"
153,0.0,,,,3,1000,500,500,50,0,inf,0,"LR (500, True)"
154,0.0,,,,4,1000,500,500,50,0,inf,0,"LR (500, True)"
155,0.0,,,,5,1000,500,500,50,0,inf,0,"LR (500, True)"
156,0.0,,,,6,1000,500,500,50,0,3.4593309758371963e+298,0,"LR (500, True)"
157,0.0,,,,7,1000,500,500,50,0,7.150290751066404e+126,0,"LR (500, True)"
158,0.0,,,,8,1000,500,500,50,0,6.348254291823848e+59,0,"LR (500, True)"
159,0.0,,,,9,1000,500,500,50,0,,0,"LR (500, True)"
0,,,,,0,1000,500,500,50,0,1.0087714582786885e+285,0,"LR (500, True)"
0,,,,,1,1000,500,500,50,0,7.850022774261671e+281,0,"LR (500, True)"
0,,,,,2,1000,500,500,50,0,inf,0,"LR (500, True)"
0,,,,,3,1000,500,500,50,0,inf,0,"LR (500, True)"
0,,,,,4,1000,500,500,50,0,inf,0,"LR (500, True)"
0,,,,,5,1000,500,500,50,0,,0,"LR (500, True)"
0,,,,,6,1000,500,500,50,0,1.0753574113114602e+211,0,"LR (500, True)"
0,,,,,7,1000,500,500,50,0,inf,0,"LR (500, True)"
0,,,,,8,1000,500,500,50,0,7.062550174762015e+124,0,"LR (500, True)"
0,,,,,9,1000,500,500,50,0,2.8443304927473254e+237,0,"LR (500, True)"
