,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,5,100,100,50,0,1.0783966549810454e+36,0,"LR (100, True)"
1,0,10,100,100,50,0,1.4157562840735997e+111,0,"LR (100, True)"
2,0,20,100,100,50,0,5.325764714312938e+139,0,"LR (100, True)"
3,0,30,100,100,50,0,4.0489734669202185e+38,0,"LR (100, True)"
4,0,40,100,100,50,0,inf,0,"LR (100, True)"
5,0,50,100,100,50,0,2.841786591263803e+186,0,"LR (100, True)"
6,0,60,100,100,50,0,inf,0,"LR (100, True)"
7,0,70,100,100,50,0,2.1796698292241576e+96,0,"LR (100, True)"
8,0,80,100,100,50,0,4.038345090047507e+102,0,"LR (100, True)"
9,0,90,100,100,50,0,4.618975594864539e+104,0,"LR (100, True)"
10,0,100,100,100,50,0,1.1583779261116939e+144,0,"LR (100, True)"
0,1,5,100,100,50,0,3.404864137664413e+144,0,"LR (100, True)"
1,1,10,100,100,50,0,,0,"LR (100, True)"
2,1,20,100,100,50,0,1.4716928085531484e+62,0,"LR (100, True)"
3,1,30,100,100,50,0,inf,0,"LR (100, True)"
4,1,40,100,100,50,0,inf,0,"LR (100, True)"
5,1,50,100,100,50,0,1.5843821902963986e+43,0,"LR (100, True)"
6,1,60,100,100,50,0,1.8637513015941508e+208,0,"LR (100, True)"
7,1,70,100,100,50,0,6.705395622540985e+147,0,"LR (100, True)"
8,1,80,100,100,50,0,inf,0,"LR (100, True)"
9,1,90,100,100,50,0,2.667387415063082e+51,0,"LR (100, True)"
10,1,100,100,100,50,0,inf,0,"LR (100, True)"
0,2,5,100,100,50,0,3.4414104777481915e+137,0,"LR (100, True)"
1,2,10,100,100,50,0,1.7828447268830516e+72,0,"LR (100, True)"
2,2,20,100,100,50,0,2.808096680859019e+123,0,"LR (100, True)"
3,2,30,100,100,50,0,4.401260294861572e+98,0,"LR (100, True)"
4,2,40,100,100,50,0,5.885330231515335e+244,0,"LR (100, True)"
5,2,50,100,100,50,0,inf,0,"LR (100, True)"
6,2,60,100,100,50,0,2.815612804774705e+210,0,"LR (100, True)"
7,2,70,100,100,50,0,1.012219273215091e+33,0,"LR (100, True)"
8,2,80,100,100,50,0,inf,0,"LR (100, True)"
9,2,90,100,100,50,0,2.097799752315514e+131,0,"LR (100, True)"
10,2,100,100,100,50,0,inf,0,"LR (100, True)"
0,3,5,100,100,50,0,5.37753376215586e+108,0,"LR (100, True)"
1,3,10,100,100,50,0,4.4539167216821965e+123,0,"LR (100, True)"
2,3,20,100,100,50,0,inf,0,"LR (100, True)"
3,3,30,100,100,50,0,inf,0,"LR (100, True)"
4,3,40,100,100,50,0,2.503681492745661e+107,0,"LR (100, True)"
5,3,50,100,100,50,0,1.6581902387256932e+123,0,"LR (100, True)"
6,3,60,100,100,50,0,3.0923292072675554e+66,0,"LR (100, True)"
7,3,70,100,100,50,0,7.573785258568773e+156,0,"LR (100, True)"
8,3,80,100,100,50,0,8.962242908457492e+108,0,"LR (100, True)"
9,3,90,100,100,50,0,inf,0,"LR (100, True)"
10,3,100,100,100,50,0,inf,0,"LR (100, True)"
0,4,5,100,100,50,0,1.0281314857060596e+101,0,"LR (100, True)"
1,4,10,100,100,50,0,1.9384770422499466e+196,0,"LR (100, True)"
2,4,20,100,100,50,0,1.4396421919558893e+105,0,"LR (100, True)"
3,4,30,100,100,50,0,5.655614877839657e+222,0,"LR (100, True)"
4,4,40,100,100,50,0,8.3668097012332e+103,0,"LR (100, True)"
5,4,50,100,100,50,0,3.805160195946863e+84,0,"LR (100, True)"
6,4,60,100,100,50,0,1.7894829066203811e+280,0,"LR (100, True)"
7,4,70,100,100,50,0,1.1947957889221116e+96,0,"LR (100, True)"
8,4,80,100,100,50,0,7.301753614265108e+225,0,"LR (100, True)"
9,4,90,100,100,50,0,4.8094588273565716e+76,0,"LR (100, True)"
10,4,100,100,100,50,0,inf,0,"LR (100, True)"
0,5,5,100,100,50,0,inf,0,"LR (100, True)"
1,5,10,100,100,50,0,inf,0,"LR (100, True)"
2,5,20,100,100,50,0,1.5546001728247048e+165,0,"LR (100, True)"
3,5,30,100,100,50,0,1.0889625124648894e+78,0,"LR (100, True)"
4,5,40,100,100,50,0,inf,0,"LR (100, True)"
5,5,50,100,100,50,0,1.997187155959925e+115,0,"LR (100, True)"
6,5,60,100,100,50,0,1.3394174928446184e+161,0,"LR (100, True)"
7,5,70,100,100,50,0,1.26804030279299e+103,0,"LR (100, True)"
8,5,80,100,100,50,0,7.559909610523616e+107,0,"LR (100, True)"
9,5,90,100,100,50,0,inf,0,"LR (100, True)"
10,5,100,100,100,50,0,1.7440122600475013e+93,0,"LR (100, True)"
0,6,5,100,100,50,0,1.7726361907273288e+89,0,"LR (100, True)"
1,6,10,100,100,50,0,,0,"LR (100, True)"
2,6,20,100,100,50,0,5.101826063569584e+169,0,"LR (100, True)"
3,6,30,100,100,50,0,5.578517223774578e+67,0,"LR (100, True)"
4,6,40,100,100,50,0,1.2661189224802481e+144,0,"LR (100, True)"
5,6,50,100,100,50,0,1.048004295647165e+241,0,"LR (100, True)"
6,6,60,100,100,50,0,4.2554431893800235e+152,0,"LR (100, True)"
7,6,70,100,100,50,0,4.0667967032379045e+165,0,"LR (100, True)"
8,6,80,100,100,50,0,4.05673511538813e+92,0,"LR (100, True)"
9,6,90,100,100,50,0,6.103675578424431e+120,0,"LR (100, True)"
10,6,100,100,100,50,0,8.252681880210865e+283,0,"LR (100, True)"
0,7,5,100,100,50,0,4.0028046651529145e+297,0,"LR (100, True)"
1,7,10,100,100,50,0,1.1765938799996394e+272,0,"LR (100, True)"
2,7,20,100,100,50,0,1.1515753610502815e+100,0,"LR (100, True)"
3,7,30,100,100,50,0,3.1744689159307726e+285,0,"LR (100, True)"
4,7,40,100,100,50,0,7.757502550058804e+130,0,"LR (100, True)"
5,7,50,100,100,50,0,7.1961107047177e+191,0,"LR (100, True)"
6,7,60,100,100,50,0,inf,0,"LR (100, True)"
7,7,70,100,100,50,0,5.753527899846797e+152,0,"LR (100, True)"
8,7,80,100,100,50,0,1.5507416963154197e+77,0,"LR (100, True)"
9,7,90,100,100,50,0,4.907501440883015e+140,0,"LR (100, True)"
10,7,100,100,100,50,0,2.1259279073238734e+146,0,"LR (100, True)"
0,8,5,100,100,50,0,4.991298355563362e+286,0,"LR (100, True)"
1,8,10,100,100,50,0,3.0984359770390775e+58,0,"LR (100, True)"
2,8,20,100,100,50,0,2.909829588494942e+86,0,"LR (100, True)"
3,8,30,100,100,50,0,8.99844034834821e+96,0,"LR (100, True)"
4,8,40,100,100,50,0,inf,0,"LR (100, True)"
5,8,50,100,100,50,0,3.140773470045895e+135,0,"LR (100, True)"
6,8,60,100,100,50,0,inf,0,"LR (100, True)"
7,8,70,100,100,50,0,5.107572800004154e+146,0,"LR (100, True)"
8,8,80,100,100,50,0,6.316079341201802e+128,0,"LR (100, True)"
9,8,90,100,100,50,0,1.98445813512889e+134,0,"LR (100, True)"
10,8,100,100,100,50,0,7.51867220760365e+145,0,"LR (100, True)"
0,9,5,100,100,50,0,5.727567812323719e+50,0,"LR (100, True)"
1,9,10,100,100,50,0,9.82810332584453e+160,0,"LR (100, True)"
2,9,20,100,100,50,0,1.6179082700095918e+60,0,"LR (100, True)"
3,9,30,100,100,50,0,4.703521804240679e+132,0,"LR (100, True)"
4,9,40,100,100,50,0,1.3668447584232597e+134,0,"LR (100, True)"
5,9,50,100,100,50,0,2.528725452989742e+120,0,"LR (100, True)"
6,9,60,100,100,50,0,6.279114419583814e+145,0,"LR (100, True)"
7,9,70,100,100,50,0,4.077496338214659e+200,0,"LR (100, True)"
8,9,80,100,100,50,0,9.697442261834832e+99,0,"LR (100, True)"
9,9,90,100,100,50,0,4.78812665536082e+95,0,"LR (100, True)"
10,9,100,100,100,50,0,1.5647049439880418e+70,0,"LR (100, True)"
0,10,5,100,100,50,0,1.3339644667146142e+239,0,"LR (100, True)"
1,10,10,100,100,50,0,inf,0,"LR (100, True)"
2,10,20,100,100,50,0,3.89617672387263e+161,0,"LR (100, True)"
3,10,30,100,100,50,0,3.5359008342918093e+73,0,"LR (100, True)"
4,10,40,100,100,50,0,1.363311126052223e+139,0,"LR (100, True)"
5,10,50,100,100,50,0,1.411302569955806e+134,0,"LR (100, True)"
6,10,60,100,100,50,0,3.6034381046438756e+141,0,"LR (100, True)"
7,10,70,100,100,50,0,,0,"LR (100, True)"
8,10,80,100,100,50,0,,0,"LR (100, True)"
9,10,90,100,100,50,0,,0,"LR (100, True)"
10,10,100,100,100,50,0,5.6685877296159215e+242,0,"LR (100, True)"
0,11,5,100,100,50,0,2.678695327489514e+83,0,"LR (100, True)"
1,11,10,100,100,50,0,3.033642963537375e+297,0,"LR (100, True)"
2,11,20,100,100,50,0,8.106138237700639e+167,0,"LR (100, True)"
3,11,30,100,100,50,0,1.6661025870082475e+211,0,"LR (100, True)"
4,11,40,100,100,50,0,,0,"LR (100, True)"
5,11,50,100,100,50,0,4.494753440523487e+125,0,"LR (100, True)"
6,11,60,100,100,50,0,,0,"LR (100, True)"
7,11,70,100,100,50,0,4.755268905819253e+67,0,"LR (100, True)"
8,11,80,100,100,50,0,1.19561227163811e+176,0,"LR (100, True)"
9,11,90,100,100,50,0,1.3714709992633004e+110,0,"LR (100, True)"
10,11,100,100,100,50,0,inf,0,"LR (100, True)"
0,12,5,100,100,50,0,2.4727847548708967e+128,0,"LR (100, True)"
1,12,10,100,100,50,0,inf,0,"LR (100, True)"
2,12,20,100,100,50,0,7.458027055351583e+192,0,"LR (100, True)"
3,12,30,100,100,50,0,2.7089601651802377e+193,0,"LR (100, True)"
4,12,40,100,100,50,0,2.3398259195541262e+100,0,"LR (100, True)"
5,12,50,100,100,50,0,1.1072692250615436e+226,0,"LR (100, True)"
6,12,60,100,100,50,0,7.78107316330307e+78,0,"LR (100, True)"
7,12,70,100,100,50,0,inf,0,"LR (100, True)"
8,12,80,100,100,50,0,inf,0,"LR (100, True)"
9,12,90,100,100,50,0,9.876679765364674e+113,0,"LR (100, True)"
10,12,100,100,100,50,0,2.006686857928489e+187,0,"LR (100, True)"
0,13,5,100,100,50,0,7.909554750542922e+98,0,"LR (100, True)"
1,13,10,100,100,50,0,6.290634652412517e+108,0,"LR (100, True)"
2,13,20,100,100,50,0,4.3357157201480605e+92,0,"LR (100, True)"
3,13,30,100,100,50,0,1.5476449391327875e+94,0,"LR (100, True)"
4,13,40,100,100,50,0,7.110999005756986e+96,0,"LR (100, True)"
5,13,50,100,100,50,0,8.126095763587641e+139,0,"LR (100, True)"
6,13,60,100,100,50,0,1.6729117375246608e+124,0,"LR (100, True)"
7,13,70,100,100,50,0,inf,0,"LR (100, True)"
8,13,80,100,100,50,0,2.201285110190044e+236,0,"LR (100, True)"
9,13,90,100,100,50,0,inf,0,"LR (100, True)"
10,13,100,100,100,50,0,6.026971159769502e+59,0,"LR (100, True)"
0,14,5,100,100,50,0,,0,"LR (100, True)"
1,14,10,100,100,50,0,,0,"LR (100, True)"
2,14,20,100,100,50,0,5.019184460151811e+127,0,"LR (100, True)"
3,14,30,100,100,50,0,1.2278508076285698e+94,0,"LR (100, True)"
4,14,40,100,100,50,0,6.108227543088676e+84,0,"LR (100, True)"
5,14,50,100,100,50,0,7.268228957399434e+204,0,"LR (100, True)"
6,14,60,100,100,50,0,1.3424670573195032e+239,0,"LR (100, True)"
7,14,70,100,100,50,0,6.354711969949652e+136,0,"LR (100, True)"
8,14,80,100,100,50,0,9.848541256683747e+181,0,"LR (100, True)"
9,14,90,100,100,50,0,3.958301431983978e+106,0,"LR (100, True)"
10,14,100,100,100,50,0,inf,0,"LR (100, True)"
0,15,5,100,100,50,0,7.29463883707442e+278,0,"LR (100, True)"
1,15,10,100,100,50,0,inf,0,"LR (100, True)"
2,15,20,100,100,50,0,8.012395205368538e+192,0,"LR (100, True)"
3,15,30,100,100,50,0,6.0117859777012326e+82,0,"LR (100, True)"
4,15,40,100,100,50,0,4.5497839114964595e+140,0,"LR (100, True)"
5,15,50,100,100,50,0,6.066258461216737e+74,0,"LR (100, True)"
6,15,60,100,100,50,0,1.437591225070915e+120,0,"LR (100, True)"
7,15,70,100,100,50,0,3.1760935059520786e+62,0,"LR (100, True)"
8,15,80,100,100,50,0,1.4109550969859278e+196,0,"LR (100, True)"
9,15,90,100,100,50,0,4.189940472666159e+107,0,"LR (100, True)"
10,15,100,100,100,50,0,1.419760444786436e+207,0,"LR (100, True)"
0,16,5,100,100,50,0,8.086994099073253e+199,0,"LR (100, True)"
1,16,10,100,100,50,0,6.265536695675366e+212,0,"LR (100, True)"
2,16,20,100,100,50,0,6.157221064374775e+267,0,"LR (100, True)"
3,16,30,100,100,50,0,9.74167359123245e+84,0,"LR (100, True)"
4,16,40,100,100,50,0,inf,0,"LR (100, True)"
5,16,50,100,100,50,0,inf,0,"LR (100, True)"
6,16,60,100,100,50,0,8.444175579966245e+129,0,"LR (100, True)"
7,16,70,100,100,50,0,1.056933925458986e+131,0,"LR (100, True)"
8,16,80,100,100,50,0,7.249375221965242e+84,0,"LR (100, True)"
9,16,90,100,100,50,0,4.8327964739887e+96,0,"LR (100, True)"
10,16,100,100,100,50,0,5.754840253932087e+286,0,"LR (100, True)"
0,17,5,100,100,50,0,6.753005891732269e+67,0,"LR (100, True)"
1,17,10,100,100,50,0,1.996182666302428e+163,0,"LR (100, True)"
2,17,20,100,100,50,0,3.774702097028763e+128,0,"LR (100, True)"
