,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,5,30,30,50,0,372711229.718837,0,"LR (30, True)"
1,0,10,30,30,50,0,11121605.459651854,0,"LR (30, True)"
2,0,20,30,30,50,0,1.1456033035554635e+33,0,"LR (30, True)"
3,0,30,30,30,50,0,4.1967190632729756e+44,0,"LR (30, True)"
4,0,40,30,30,50,0,2.4806407420760732e+36,0,"LR (30, True)"
5,0,50,30,30,50,0,580317026447434.1,0,"LR (30, True)"
6,0,60,30,30,50,0,2.5569969022017234e+18,0,"LR (30, True)"
7,0,70,30,30,50,0,1811783.2856563753,0,"LR (30, True)"
8,0,80,30,30,50,0,5.7103560572797e+19,0,"LR (30, True)"
9,0,90,30,30,50,0,14673697.443526858,0,"LR (30, True)"
10,0,100,30,30,50,0,4001468928.0203953,0,"LR (30, True)"
0,1,5,30,30,50,0,2663651445715.3887,0,"LR (30, True)"
1,1,10,30,30,50,0,3.5451127351532304e+41,0,"LR (30, True)"
2,1,20,30,30,50,0,7023415.988547834,0,"LR (30, True)"
3,1,30,30,30,50,0,3.256528611702521e+58,0,"LR (30, True)"
4,1,40,30,30,50,0,5.323778388887469e+28,0,"LR (30, True)"
5,1,50,30,30,50,0,34147.098933273075,0,"LR (30, True)"
6,1,60,30,30,50,0,1.1304287014833066e+19,0,"LR (30, True)"
7,1,70,30,30,50,0,49847081974.523895,0,"LR (30, True)"
8,1,80,30,30,50,0,4772.117495016935,0,"LR (30, True)"
9,1,90,30,30,50,0,2.1222099174373078e+17,0,"LR (30, True)"
10,1,100,30,30,50,0,501821769.6421078,0,"LR (30, True)"
0,2,5,30,30,50,0,inf,0,"LR (30, True)"
1,2,10,30,30,50,0,2.1617742936761824e+92,0,"LR (30, True)"
2,2,20,30,30,50,0,5542650.738364368,0,"LR (30, True)"
3,2,30,30,30,50,0,2.4848302200829834e+87,0,"LR (30, True)"
4,2,40,30,30,50,0,985965305.6733993,0,"LR (30, True)"
5,2,50,30,30,50,0,1.5808140429096095e+141,0,"LR (30, True)"
6,2,60,30,30,50,0,26884501.931377087,0,"LR (30, True)"
7,2,70,30,30,50,0,36948.56847227904,0,"LR (30, True)"
8,2,80,30,30,50,0,1.0567718941003714e+43,0,"LR (30, True)"
9,2,90,30,30,50,0,2.13697529550936e+20,0,"LR (30, True)"
10,2,100,30,30,50,0,5747237236.22458,0,"LR (30, True)"
0,3,5,30,30,50,0,1.1003679068708874e+63,0,"LR (30, True)"
1,3,10,30,30,50,0,5.133546013239256e+16,0,"LR (30, True)"
2,3,20,30,30,50,0,4.514687241424679e+24,0,"LR (30, True)"
3,3,30,30,30,50,0,69850029149621.33,0,"LR (30, True)"
4,3,40,30,30,50,0,5375.730769390779,0,"LR (30, True)"
5,3,50,30,30,50,0,10579.09990948292,0,"LR (30, True)"
6,3,60,30,30,50,0,2.2003227251950637e+17,0,"LR (30, True)"
7,3,70,30,30,50,0,109304918.883169,0,"LR (30, True)"
8,3,80,30,30,50,0,39799.21467941229,0,"LR (30, True)"
9,3,90,30,30,50,0,1.3940278633277975e+75,0,"LR (30, True)"
10,3,100,30,30,50,0,1.7376310173945962e+22,0,"LR (30, True)"
0,4,5,30,30,50,0,2.831098872652573e+56,0,"LR (30, True)"
1,4,10,30,30,50,0,124545237.0328724,0,"LR (30, True)"
2,4,20,30,30,50,0,4.572732087040184e+16,0,"LR (30, True)"
3,4,30,30,30,50,0,5.5341963357276e+164,0,"LR (30, True)"
4,4,40,30,30,50,0,8.33537157902656e+21,0,"LR (30, True)"
5,4,50,30,30,50,0,6270345.922904587,0,"LR (30, True)"
6,4,60,30,30,50,0,2.115724694587902e+34,0,"LR (30, True)"
7,4,70,30,30,50,0,2445607902.6912694,0,"LR (30, True)"
8,4,80,30,30,50,0,1013.8413073546045,0,"LR (30, True)"
9,4,90,30,30,50,0,4930672068.460816,0,"LR (30, True)"
10,4,100,30,30,50,0,1489.9358171285783,0,"LR (30, True)"
0,5,5,30,30,50,0,6552.6920831717935,0,"LR (30, True)"
1,5,10,30,30,50,0,53883810.41233777,0,"LR (30, True)"
2,5,20,30,30,50,0,23595835417.81583,0,"LR (30, True)"
3,5,30,30,30,50,0,7.529075988804129e+201,0,"LR (30, True)"
4,5,40,30,30,50,0,2480530.2328624222,0,"LR (30, True)"
5,5,50,30,30,50,0,14462.438814286288,0,"LR (30, True)"
6,5,60,30,30,50,0,2919446091.717951,0,"LR (30, True)"
7,5,70,30,30,50,0,1469800672.9381413,0,"LR (30, True)"
8,5,80,30,30,50,0,11412124747.2979,0,"LR (30, True)"
9,5,90,30,30,50,0,19537680.09724118,0,"LR (30, True)"
10,5,100,30,30,50,0,3656556448542.407,0,"LR (30, True)"
0,6,5,30,30,50,0,4.610572760048531e+22,0,"LR (30, True)"
1,6,10,30,30,50,0,6.07534144773594e+39,0,"LR (30, True)"
2,6,20,30,30,50,0,81262386.00619051,0,"LR (30, True)"
3,6,30,30,30,50,0,3.545874093452168e+46,0,"LR (30, True)"
4,6,40,30,30,50,0,93645.99983888298,0,"LR (30, True)"
5,6,50,30,30,50,0,3689998.9354190454,0,"LR (30, True)"
6,6,60,30,30,50,0,5.066295550895012e+30,0,"LR (30, True)"
7,6,70,30,30,50,0,4.889495863941086e+17,0,"LR (30, True)"
8,6,80,30,30,50,0,83466766123.92296,0,"LR (30, True)"
9,6,90,30,30,50,0,6.604665751695483e+38,0,"LR (30, True)"
10,6,100,30,30,50,0,2487259181651.222,0,"LR (30, True)"
0,7,5,30,30,50,0,6072093541219.857,0,"LR (30, True)"
1,7,10,30,30,50,0,3.351057077789724e+98,0,"LR (30, True)"
2,7,20,30,30,50,0,inf,0,"LR (30, True)"
3,7,30,30,30,50,0,9.821219643803347e+59,0,"LR (30, True)"
4,7,40,30,30,50,0,7.952217972081547e+27,0,"LR (30, True)"
5,7,50,30,30,50,0,2412355163.0877976,0,"LR (30, True)"
6,7,60,30,30,50,0,4.812818676046996e+31,0,"LR (30, True)"
7,7,70,30,30,50,0,9625903.762758225,0,"LR (30, True)"
8,7,80,30,30,50,0,3.557077360769847e+62,0,"LR (30, True)"
9,7,90,30,30,50,0,3.163696552036154e+35,0,"LR (30, True)"
10,7,100,30,30,50,0,10834155670765.627,0,"LR (30, True)"
0,8,5,30,30,50,0,656017.5519687544,0,"LR (30, True)"
1,8,10,30,30,50,0,3.037096523333954e+30,0,"LR (30, True)"
2,8,20,30,30,50,0,109796682.38599896,0,"LR (30, True)"
3,8,30,30,30,50,0,8.635948287666985e+37,0,"LR (30, True)"
4,8,40,30,30,50,0,2.6879896859453702e+17,0,"LR (30, True)"
5,8,50,30,30,50,0,6700.539805184959,0,"LR (30, True)"
6,8,60,30,30,50,0,1.4073485615628095e+28,0,"LR (30, True)"
7,8,70,30,30,50,0,3515251.2385242307,0,"LR (30, True)"
8,8,80,30,30,50,0,5561266101.434951,0,"LR (30, True)"
9,8,90,30,30,50,0,1.2518393821389052e+19,0,"LR (30, True)"
10,8,100,30,30,50,0,3458444.1287108795,0,"LR (30, True)"
0,9,5,30,30,50,0,1.7142468619417397e+20,0,"LR (30, True)"
1,9,10,30,30,50,0,13416.234679002608,0,"LR (30, True)"
2,9,20,30,30,50,0,6581101.773122382,0,"LR (30, True)"
3,9,30,30,30,50,0,7.287315298360435e+51,0,"LR (30, True)"
4,9,40,30,30,50,0,32398.0418237004,0,"LR (30, True)"
5,9,50,30,30,50,0,38347121.884307764,0,"LR (30, True)"
6,9,60,30,30,50,0,2195587159.293979,0,"LR (30, True)"
7,9,70,30,30,50,0,6.344018212508592e+31,0,"LR (30, True)"
8,9,80,30,30,50,0,5.2552975713710934e+23,0,"LR (30, True)"
9,9,90,30,30,50,0,7.038645372257591e+17,0,"LR (30, True)"
10,9,100,30,30,50,0,2.598964849763743e+105,0,"LR (30, True)"
0,10,5,30,30,50,0,3785408393.047491,0,"LR (30, True)"
1,10,10,30,30,50,0,1.94706756129154e+18,0,"LR (30, True)"
2,10,20,30,30,50,0,27410869119834.977,0,"LR (30, True)"
3,10,30,30,30,50,0,5.548550381927348e+22,0,"LR (30, True)"
4,10,40,30,30,50,0,3164906763.0601025,0,"LR (30, True)"
5,10,50,30,30,50,0,2999845.8565181675,0,"LR (30, True)"
6,10,60,30,30,50,0,7.650239729179434e+18,0,"LR (30, True)"
7,10,70,30,30,50,0,81.24673107021025,0,"LR (30, True)"
8,10,80,30,30,50,0,1.421529953773167e+18,0,"LR (30, True)"
9,10,90,30,30,50,0,1852822393904.469,0,"LR (30, True)"
10,10,100,30,30,50,0,25133.134564657164,0,"LR (30, True)"
0,11,5,30,30,50,0,481873.9975840683,0,"LR (30, True)"
1,11,10,30,30,50,0,1.627015915885529e+26,0,"LR (30, True)"
2,11,20,30,30,50,0,1729404.0746254446,0,"LR (30, True)"
3,11,30,30,30,50,0,8.742117663260228e+128,0,"LR (30, True)"
4,11,40,30,30,50,0,3.080819067709964e+38,0,"LR (30, True)"
5,11,50,30,30,50,0,1.3556131830248772e+33,0,"LR (30, True)"
6,11,60,30,30,50,0,375280693206.034,0,"LR (30, True)"
7,11,70,30,30,50,0,1.7684546050633628e+41,0,"LR (30, True)"
8,11,80,30,30,50,0,835.2351487578254,0,"LR (30, True)"
9,11,90,30,30,50,0,1097597126154.5255,0,"LR (30, True)"
10,11,100,30,30,50,0,1.1261034179085914e+18,0,"LR (30, True)"
0,12,5,30,30,50,0,4.689536962124797e+18,0,"LR (30, True)"
1,12,10,30,30,50,0,62806.52494155975,0,"LR (30, True)"
2,12,20,30,30,50,0,1.3937473640443437e+17,0,"LR (30, True)"
3,12,30,30,30,50,0,6.057464874160585e+26,0,"LR (30, True)"
4,12,40,30,30,50,0,8.63701913742679e+23,0,"LR (30, True)"
5,12,50,30,30,50,0,256870.41959239554,0,"LR (30, True)"
6,12,60,30,30,50,0,58007299.287229046,0,"LR (30, True)"
7,12,70,30,30,50,0,10526503465520.375,0,"LR (30, True)"
8,12,80,30,30,50,0,1.7194440744767148e+54,0,"LR (30, True)"
9,12,90,30,30,50,0,8.658129805536e+41,0,"LR (30, True)"
10,12,100,30,30,50,0,1.3234272198245068e+49,0,"LR (30, True)"
0,13,5,30,30,50,0,1243549703776.5364,0,"LR (30, True)"
1,13,10,30,30,50,0,1.638034850185643e+23,0,"LR (30, True)"
2,13,20,30,30,50,0,8.104157756954849e+21,0,"LR (30, True)"
3,13,30,30,30,50,0,5.223137889993253e+29,0,"LR (30, True)"
4,13,40,30,30,50,0,5.19375120811743e+16,0,"LR (30, True)"
5,13,50,30,30,50,0,2.4650861691614704e+22,0,"LR (30, True)"
6,13,60,30,30,50,0,6.762226030923629e+63,0,"LR (30, True)"
7,13,70,30,30,50,0,4.572302933260416e+48,0,"LR (30, True)"
8,13,80,30,30,50,0,1109473352722.3608,0,"LR (30, True)"
9,13,90,30,30,50,0,61654342128.87499,0,"LR (30, True)"
10,13,100,30,30,50,0,1.1280374625871296e+57,0,"LR (30, True)"
0,14,5,30,30,50,0,32894845.609029397,0,"LR (30, True)"
1,14,10,30,30,50,0,11.33619560352995,0,"LR (30, True)"
2,14,20,30,30,50,0,inf,0,"LR (30, True)"
3,14,30,30,30,50,0,3.4009574348766365e+50,0,"LR (30, True)"
4,14,40,30,30,50,0,36249.805739304466,0,"LR (30, True)"
5,14,50,30,30,50,0,14515403157.831305,0,"LR (30, True)"
6,14,60,30,30,50,0,186884328016063.5,0,"LR (30, True)"
