,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
10,6,100,40,40,50,0,5.063271222039984e+38,0,"LR (40, True)"
0,7,5,40,40,50,0,1.391949550755887e+51,0,"LR (40, True)"
1,7,10,40,40,50,0,653612316211.66,0,"LR (40, True)"
2,7,20,40,40,50,0,6709.024505938201,0,"LR (40, True)"
3,7,30,40,40,50,0,8897264.98637205,0,"LR (40, True)"
4,7,40,40,40,50,0,8.687836221372285e+27,0,"LR (40, True)"
5,7,50,40,40,50,0,14903641051705.168,0,"LR (40, True)"
6,7,60,40,40,50,0,657770965761.0603,0,"LR (40, True)"
7,7,70,40,40,50,0,620477850921.0994,0,"LR (40, True)"
8,7,80,40,40,50,0,4.032688587918779e+140,0,"LR (40, True)"
9,7,90,40,40,50,0,487.93873989010643,0,"LR (40, True)"
10,7,100,40,40,50,0,3321876046.951984,0,"LR (40, True)"
0,8,5,40,40,50,0,12558502203.078688,0,"LR (40, True)"
1,8,10,40,40,50,0,9512.260287648145,0,"LR (40, True)"
2,8,20,40,40,50,0,15355250737.752512,0,"LR (40, True)"
3,8,30,40,40,50,0,3.9068278850677376e+82,0,"LR (40, True)"
4,8,40,40,40,50,0,4.3752760928202776e+75,0,"LR (40, True)"
5,8,50,40,40,50,0,602.9097688164914,0,"LR (40, True)"
6,8,60,40,40,50,0,3.7861311297700394e+53,0,"LR (40, True)"
7,8,70,40,40,50,0,1.8931250129036938e+18,0,"LR (40, True)"
8,8,80,40,40,50,0,2.3875364487749173e+64,0,"LR (40, True)"
9,8,90,40,40,50,0,5.99034697088484e+139,0,"LR (40, True)"
10,8,100,40,40,50,0,,0,"LR (40, True)"
0,9,5,40,40,50,0,300.1737989192212,0,"LR (40, True)"
1,9,10,40,40,50,0,26841222564122.258,0,"LR (40, True)"
2,9,20,40,40,50,0,9311170511152988.0,0,"LR (40, True)"
3,9,30,40,40,50,0,5848305.5643040035,0,"LR (40, True)"
4,9,40,40,40,50,0,inf,0,"LR (40, True)"
5,9,50,40,40,50,0,201180341051358.06,0,"LR (40, True)"
6,9,60,40,40,50,0,6.16016779539302e+21,0,"LR (40, True)"
7,9,70,40,40,50,0,628690554.8042083,0,"LR (40, True)"
8,9,80,40,40,50,0,266755296.64901534,0,"LR (40, True)"
9,9,90,40,40,50,0,3699167984288881.5,0,"LR (40, True)"
10,9,100,40,40,50,0,18952215070200.676,0,"LR (40, True)"
0,10,5,40,40,50,0,6.06675506097408e+16,0,"LR (40, True)"
1,10,10,40,40,50,0,8.110672388861657e+20,0,"LR (40, True)"
2,10,20,40,40,50,0,944461014759.8867,0,"LR (40, True)"
3,10,30,40,40,50,0,inf,0,"LR (40, True)"
4,10,40,40,40,50,0,2.728658627964595e+139,0,"LR (40, True)"
5,10,50,40,40,50,0,13837443289101.246,0,"LR (40, True)"
6,10,60,40,40,50,0,6.264102162094594e+280,0,"LR (40, True)"
7,10,70,40,40,50,0,726977563021.1633,0,"LR (40, True)"
8,10,80,40,40,50,0,1.7902653353853536e+22,0,"LR (40, True)"
