,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0,5,20,20,50,0,3346.9978204325225,0,"LR (20, True)"
1,1.0,0,10,20,20,50,0,5063153897108.539,0,"LR (20, True)"
2,2.0,0,20,20,20,50,0,5840464.79215373,0,"LR (20, True)"
3,3.0,0,30,20,20,50,0,7.309380394657064e+198,0,"LR (20, True)"
4,4.0,0,40,20,20,50,0,2.06662965186632e+22,0,"LR (20, True)"
5,5.0,0,50,20,20,50,0,8.036098362899516e+22,0,"LR (20, True)"
6,6.0,0,60,20,20,50,0,3798.6805591362954,0,"LR (20, True)"
7,7.0,0,70,20,20,50,0,1.2564196684309334e+17,0,"LR (20, True)"
8,8.0,0,80,20,20,50,0,3012420495007.7725,0,"LR (20, True)"
9,9.0,0,90,20,20,50,0,174575349811713.2,0,"LR (20, True)"
10,10.0,0,100,20,20,50,0,321077.2802337039,0,"LR (20, True)"
11,0.0,1,5,20,20,50,0,4.95751902020077e+16,0,"LR (20, True)"
12,1.0,1,10,20,20,50,0,1.694926854295646e+19,0,"LR (20, True)"
13,2.0,1,20,20,20,50,0,3.2700006475910916e+48,0,"LR (20, True)"
14,3.0,1,30,20,20,50,0,3476194.775559684,0,"LR (20, True)"
15,4.0,1,40,20,20,50,0,6.069481656001521e+19,0,"LR (20, True)"
16,5.0,1,50,20,20,50,0,747297078.2103984,0,"LR (20, True)"
17,6.0,1,60,20,20,50,0,5.360659855046841e+30,0,"LR (20, True)"
18,7.0,1,70,20,20,50,0,14256900128047.809,0,"LR (20, True)"
19,8.0,1,80,20,20,50,0,1130291735064395.0,0,"LR (20, True)"
20,9.0,1,90,20,20,50,0,98110.00415698548,0,"LR (20, True)"
21,10.0,1,100,20,20,50,0,2.213819992334609e+30,0,"LR (20, True)"
22,0.0,2,5,20,20,50,0,1.2359144876453614e+51,0,"LR (20, True)"
23,1.0,2,10,20,20,50,0,21267292.328805223,0,"LR (20, True)"
24,2.0,2,20,20,20,50,0,4.6541449599216814e+41,0,"LR (20, True)"
25,3.0,2,30,20,20,50,0,4459743.662860836,0,"LR (20, True)"
26,4.0,2,40,20,20,50,0,4747021380051.214,0,"LR (20, True)"
27,5.0,2,50,20,20,50,0,8108588076.343081,0,"LR (20, True)"
28,6.0,2,60,20,20,50,0,956008112.6318403,0,"LR (20, True)"
29,7.0,2,70,20,20,50,0,6495853389.564615,0,"LR (20, True)"
30,8.0,2,80,20,20,50,0,2.1573094215349825e+46,0,"LR (20, True)"
31,9.0,2,90,20,20,50,0,16759805768.965977,0,"LR (20, True)"
32,10.0,2,100,20,20,50,0,1.8184250711014637e+17,0,"LR (20, True)"
33,0.0,3,5,20,20,50,0,207848789648.02808,0,"LR (20, True)"
34,1.0,3,10,20,20,50,0,1839708.8574159336,0,"LR (20, True)"
35,2.0,3,20,20,20,50,0,3.306402326059128e+55,0,"LR (20, True)"
36,3.0,3,30,20,20,50,0,524246072.78715134,0,"LR (20, True)"
37,4.0,3,40,20,20,50,0,6.271908729168267e+21,0,"LR (20, True)"
38,5.0,3,50,20,20,50,0,49005.455233339366,0,"LR (20, True)"
39,6.0,3,60,20,20,50,0,79688545.95855771,0,"LR (20, True)"
40,7.0,3,70,20,20,50,0,3.018403379279875e+17,0,"LR (20, True)"
41,8.0,3,80,20,20,50,0,1.3964826321150914e+21,0,"LR (20, True)"
42,9.0,3,90,20,20,50,0,74179232.37270036,0,"LR (20, True)"
43,10.0,3,100,20,20,50,0,1.4199387943042068e+74,0,"LR (20, True)"
44,0.0,4,5,20,20,50,0,1.5880220217934592e+50,0,"LR (20, True)"
45,1.0,4,10,20,20,50,0,31032.006945241814,0,"LR (20, True)"
46,2.0,4,20,20,20,50,0,1843118611.133716,0,"LR (20, True)"
47,3.0,4,30,20,20,50,0,15948151.128730249,0,"LR (20, True)"
48,4.0,4,40,20,20,50,0,29436744216.588665,0,"LR (20, True)"
49,5.0,4,50,20,20,50,0,327422218.27746195,0,"LR (20, True)"
50,6.0,4,60,20,20,50,0,597394370775087.2,0,"LR (20, True)"
51,7.0,4,70,20,20,50,0,7.23119909068929e+109,0,"LR (20, True)"
52,8.0,4,80,20,20,50,0,448069967056635.3,0,"LR (20, True)"
53,9.0,4,90,20,20,50,0,1.0281266636160258e+47,0,"LR (20, True)"
54,10.0,4,100,20,20,50,0,22966.44513136126,0,"LR (20, True)"
55,0.0,5,5,20,20,50,0,3515.831654847144,0,"LR (20, True)"
56,1.0,5,10,20,20,50,0,712407286.5755178,0,"LR (20, True)"
57,2.0,5,20,20,20,50,0,2742528573377.444,0,"LR (20, True)"
58,3.0,5,30,20,20,50,0,2093166.489423961,0,"LR (20, True)"
59,4.0,5,40,20,20,50,0,1.3044545959898077e+30,0,"LR (20, True)"
60,5.0,5,50,20,20,50,0,7.202865331662789e+30,0,"LR (20, True)"
61,6.0,5,60,20,20,50,0,423847.5871366514,0,"LR (20, True)"
62,7.0,5,70,20,20,50,0,6578704592.76718,0,"LR (20, True)"
63,8.0,5,80,20,20,50,0,3.863256373535265e+63,0,"LR (20, True)"
64,9.0,5,90,20,20,50,0,322.87383078809404,0,"LR (20, True)"
65,10.0,5,100,20,20,50,0,1437.4083393661508,0,"LR (20, True)"
66,0.0,6,5,20,20,50,0,21075444040.95994,0,"LR (20, True)"
67,1.0,6,10,20,20,50,0,2835.952786132605,0,"LR (20, True)"
68,2.0,6,20,20,20,50,0,inf,0,"LR (20, True)"
69,3.0,6,30,20,20,50,0,228069681.86338028,0,"LR (20, True)"
70,4.0,6,40,20,20,50,0,1.2792128652856135e+176,0,"LR (20, True)"
71,5.0,6,50,20,20,50,0,18196101884.736214,0,"LR (20, True)"
72,6.0,6,60,20,20,50,0,1.129355438003442e+16,0,"LR (20, True)"
73,7.0,6,70,20,20,50,0,3.1397028836731292e+41,0,"LR (20, True)"
74,8.0,6,80,20,20,50,0,223237068.1560188,0,"LR (20, True)"
75,9.0,6,90,20,20,50,0,1209902500.4288225,0,"LR (20, True)"
76,10.0,6,100,20,20,50,0,7.164225114159869e+21,0,"LR (20, True)"
77,0.0,7,5,20,20,50,0,1447153473414.9355,0,"LR (20, True)"
78,1.0,7,10,20,20,50,0,6.266462120970163e+16,0,"LR (20, True)"
79,2.0,7,20,20,20,50,0,2.110207548702934e+16,0,"LR (20, True)"
80,3.0,7,30,20,20,50,0,39195414254085.52,0,"LR (20, True)"
81,4.0,7,40,20,20,50,0,8.436983137383357e+145,0,"LR (20, True)"
82,5.0,7,50,20,20,50,0,13.208234724483976,0,"LR (20, True)"
83,6.0,7,60,20,20,50,0,2281344.293510145,0,"LR (20, True)"
84,7.0,7,70,20,20,50,0,13891072392.02566,0,"LR (20, True)"
85,8.0,7,80,20,20,50,0,381516.9166580603,0,"LR (20, True)"
86,9.0,7,90,20,20,50,0,60470627.49037768,0,"LR (20, True)"
87,10.0,7,100,20,20,50,0,3607174076658120.0,0,"LR (20, True)"
88,0.0,8,5,20,20,50,0,611433951.1612579,0,"LR (20, True)"
89,1.0,8,10,20,20,50,0,20286368.85036781,0,"LR (20, True)"
90,2.0,8,20,20,20,50,0,4.7561818113843385e+121,0,"LR (20, True)"
91,3.0,8,30,20,20,50,0,80049653.53958765,0,"LR (20, True)"
92,4.0,8,40,20,20,50,0,8337721913461.276,0,"LR (20, True)"
93,5.0,8,50,20,20,50,0,63.9788358439266,0,"LR (20, True)"
94,6.0,8,60,20,20,50,0,1.68785393146731e+29,0,"LR (20, True)"
95,7.0,8,70,20,20,50,0,22604506.2792042,0,"LR (20, True)"
96,8.0,8,80,20,20,50,0,2.1069650622819228e+49,0,"LR (20, True)"
97,9.0,8,90,20,20,50,0,15748474.002376804,0,"LR (20, True)"
98,10.0,8,100,20,20,50,0,4.848249458312202e+20,0,"LR (20, True)"
99,0.0,9,5,20,20,50,0,9.843983446437115e+56,0,"LR (20, True)"
100,1.0,9,10,20,20,50,0,9.560752094755654e+16,0,"LR (20, True)"
101,2.0,9,20,20,20,50,0,9.823957780029473e+18,0,"LR (20, True)"
102,3.0,9,30,20,20,50,0,96.94955029462253,0,"LR (20, True)"
103,4.0,9,40,20,20,50,0,1982476352114648.5,0,"LR (20, True)"
104,5.0,9,50,20,20,50,0,206072878.21154124,0,"LR (20, True)"
105,6.0,9,60,20,20,50,0,1.3234224324583132e+18,0,"LR (20, True)"
106,7.0,9,70,20,20,50,0,1339142616907066.2,0,"LR (20, True)"
107,8.0,9,80,20,20,50,0,2975.663647734624,0,"LR (20, True)"
108,9.0,9,90,20,20,50,0,inf,0,"LR (20, True)"
109,10.0,9,100,20,20,50,0,121405.76326422856,0,"LR (20, True)"
110,0.0,10,5,20,20,50,0,577.5706235349128,0,"LR (20, True)"
111,1.0,10,10,20,20,50,0,1.1551973146081647e+51,0,"LR (20, True)"
112,2.0,10,20,20,20,50,0,2843664503.010256,0,"LR (20, True)"
113,3.0,10,30,20,20,50,0,5.6168605249322056e+41,0,"LR (20, True)"
114,4.0,10,40,20,20,50,0,28594784.07583572,0,"LR (20, True)"
115,5.0,10,50,20,20,50,0,9.412844770832398e+18,0,"LR (20, True)"
116,6.0,10,60,20,20,50,0,8179.263899255423,0,"LR (20, True)"
117,7.0,10,70,20,20,50,0,754701260010421.0,0,"LR (20, True)"
118,8.0,10,80,20,20,50,0,281.01457419433854,0,"LR (20, True)"
119,9.0,10,90,20,20,50,0,8.254791000456026e+78,0,"LR (20, True)"
120,10.0,10,100,20,20,50,0,2.4261679119366718e+87,0,"LR (20, True)"
121,0.0,11,5,20,20,50,0,21099.183481832893,0,"LR (20, True)"
122,1.0,11,10,20,20,50,0,8.341671682168534e+18,0,"LR (20, True)"
123,2.0,11,20,20,20,50,0,385872517672582.9,0,"LR (20, True)"
