,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
11,8,30,100,100,50,0.0024538351454510797,0,LR (False)
0,9,30,10,10,50,6.64669344810731e-07,0,LR (False)
1,9,30,50,50,50,2.4464525505496137e-06,0,LR (False)
2,9,30,100,100,50,0.007638487316303866,0,LR (False)
3,9,30,200,200,50,162.12921319874584,0,LR (False)
4,9,30,300,300,50,378.2690496196205,0,LR (False)
5,9,30,400,400,50,12068.494004949145,0,LR (False)
6,9,30,500,500,50,1005835.6716408062,0,LR (False)
7,9,30,600,600,50,405131774.51585734,0,LR (False)
8,9,30,700,700,50,3.647403541393643e+18,0,LR (False)
9,9,30,800,800,50,1.0553920169498442e+224,0,LR (False)
10,9,30,900,900,50,1.2177652859794864e+105,0,LR (False)
11,9,30,100,100,50,0.09877217926468353,0,LR (False)
0,10,30,10,10,50,1.8423167573293824e-06,0,LR (False)
1,10,30,50,50,50,3.4537087361898302e-06,0,LR (False)
2,10,30,100,100,50,0.0020662176260454264,0,LR (False)
3,10,30,200,200,50,1851.687701480425,0,LR (False)
4,10,30,300,300,50,567.2143275961619,0,LR (False)
5,10,30,400,400,50,24340.27586137204,0,LR (False)
6,10,30,500,500,50,6443744.300285019,0,LR (False)
7,10,30,600,600,50,359223344.04067934,0,LR (False)
8,10,30,700,700,50,6.106405993213591e+30,0,LR (False)
9,10,30,800,800,50,4.499804086285995e+194,0,LR (False)
10,10,30,900,900,50,8.271297002597213e+217,0,LR (False)
11,10,30,100,100,50,0.0033316343444429342,0,LR (False)
0,11,30,10,10,50,4.630507456796034e-07,0,LR (False)
1,11,30,50,50,50,0.0002640326455991555,0,LR (False)
2,11,30,100,100,50,0.007517803674197421,0,LR (False)
3,11,30,200,200,50,95.95750906369534,0,LR (False)
4,11,30,300,300,50,334.91061121398286,0,LR (False)
5,11,30,400,400,50,2080.707424899934,0,LR (False)
6,11,30,500,500,50,1852253.3586963404,0,LR (False)
7,11,30,600,600,50,94648953.81435116,0,LR (False)
8,11,30,700,700,50,1.9973733121055607e+28,0,LR (False)
9,11,30,800,800,50,9.854050996807761e+134,0,LR (False)
10,11,30,900,900,50,4.43454404315739e+204,0,LR (False)
11,11,30,100,100,50,6.825681629524687,0,LR (False)
0,12,30,10,10,50,9.442910243845635e-07,0,LR (False)
1,12,30,50,50,50,1.3204071526720811e-05,0,LR (False)
2,12,30,100,100,50,0.03637505306975099,0,LR (False)
3,12,30,200,200,50,115.20740545513036,0,LR (False)
4,12,30,300,300,50,586861.7673533506,0,LR (False)
5,12,30,400,400,50,6179.059537199003,0,LR (False)
6,12,30,500,500,50,58581.02923182967,0,LR (False)
7,12,30,600,600,50,126338302866.21318,0,LR (False)
8,12,30,700,700,50,8.539447731519193e+58,0,LR (False)
9,12,30,800,800,50,1.5760442700023234e+182,0,LR (False)
10,12,30,900,900,50,5.877123865558955e+124,0,LR (False)
11,12,30,100,100,50,0.00015738930946388705,0,LR (False)
0,13,30,10,10,50,0.0036084278266563553,0,LR (False)
1,13,30,50,50,50,5.475158961607623e-06,0,LR (False)
2,13,30,100,100,50,0.031277466486058905,0,LR (False)
3,13,30,200,200,50,5.2705989996504865,0,LR (False)
4,13,30,300,300,50,680281.2745574849,0,LR (False)
5,13,30,400,400,50,31538.83763560061,0,LR (False)
6,13,30,500,500,50,39276.9964912618,0,LR (False)
7,13,30,600,600,50,2632418768.449035,0,LR (False)
8,13,30,700,700,50,49348592325247.73,0,LR (False)
9,13,30,800,800,50,1.380586640165623e+167,0,LR (False)
10,13,30,900,900,50,6.405156837602628e+81,0,LR (False)
11,13,30,100,100,50,0.005905852371660529,0,LR (False)
0,14,30,10,10,50,2.1397176260944177e-06,0,LR (False)
1,14,30,50,50,50,9.487755458324054e-06,0,LR (False)
2,14,30,100,100,50,0.002014570252442838,0,LR (False)
3,14,30,200,200,50,10.090737087577624,0,LR (False)
4,14,30,300,300,50,69653.59200601942,0,LR (False)
5,14,30,400,400,50,691.4107532543727,0,LR (False)
6,14,30,500,500,50,317652.6084567709,0,LR (False)
7,14,30,600,600,50,4336651573.765656,0,LR (False)
8,14,30,700,700,50,8.965630619100912e+201,0,LR (False)
9,14,30,800,800,50,3.8755791674051074e+239,0,LR (False)
10,14,30,900,900,50,1.7457534947534912e+229,0,LR (False)
11,14,30,100,100,50,0.006162224406052894,0,LR (False)
0,15,30,10,10,50,1.7084435370292848e-07,0,LR (False)
1,15,30,50,50,50,6.626083905135521e-06,0,LR (False)
2,15,30,100,100,50,0.0007516848297681837,0,LR (False)
3,15,30,200,200,50,3.4689295923013503,0,LR (False)
4,15,30,300,300,50,1712.5156957833924,0,LR (False)
5,15,30,400,400,50,320.6789410557924,0,LR (False)
6,15,30,500,500,50,27844.40919341528,0,LR (False)
7,15,30,600,600,50,8861543.305534597,0,LR (False)
8,15,30,700,700,50,1.442875679433405e+30,0,LR (False)
9,15,30,800,800,50,6.026372281012952e+83,0,LR (False)
10,15,30,900,900,50,2.300063582811003e+158,0,LR (False)
11,15,30,100,100,50,0.08360866368181878,0,LR (False)
0,16,30,10,10,50,2.16183077450198e-06,0,LR (False)
1,16,30,50,50,50,1.515123539308677e-06,0,LR (False)
2,16,30,100,100,50,0.4749428968577549,0,LR (False)
3,16,30,200,200,50,792.219385153038,0,LR (False)
4,16,30,300,300,50,191250.59586586224,0,LR (False)
5,16,30,400,400,50,549.345206888718,0,LR (False)
6,16,30,500,500,50,30253578.585699745,0,LR (False)
7,16,30,600,600,50,85509060.49973522,0,LR (False)
8,16,30,700,700,50,5.37675853415449e+19,0,LR (False)
9,16,30,800,800,50,3.467348515859874e+193,0,LR (False)
10,16,30,900,900,50,inf,0,LR (False)
11,16,30,100,100,50,0.015255768814529532,0,LR (False)
0,17,30,10,10,50,1.7816259163819776e-06,0,LR (False)
1,17,30,50,50,50,0.00023880149836762795,0,LR (False)
2,17,30,100,100,50,0.0002525354982493416,0,LR (False)
3,17,30,200,200,50,168.81262725570804,0,LR (False)
4,17,30,300,300,50,60.48302157236891,0,LR (False)
5,17,30,400,400,50,75509.77764555496,0,LR (False)
6,17,30,500,500,50,934117.551512028,0,LR (False)
7,17,30,600,600,50,53319639620.44603,0,LR (False)
8,17,30,700,700,50,1.8658038829872417e+51,0,LR (False)
9,17,30,800,800,50,1.2862287635030286e+138,0,LR (False)
10,17,30,900,900,50,5.875932898078035e+184,0,LR (False)
11,17,30,100,100,50,0.14491500750890166,0,LR (False)
0,18,30,10,10,50,5.989531704944673e-06,0,LR (False)
1,18,30,50,50,50,1.799445716350333e-05,0,LR (False)
2,18,30,100,100,50,0.00037426823550975837,0,LR (False)
3,18,30,200,200,50,44.80390621432909,0,LR (False)
4,18,30,300,300,50,1219.346543092649,0,LR (False)
5,18,30,400,400,50,402.39141959164573,0,LR (False)
6,18,30,500,500,50,41013.36553258056,0,LR (False)
7,18,30,600,600,50,6689083870.772272,0,LR (False)
8,18,30,700,700,50,1.3570831765453447e+26,0,LR (False)
9,18,30,800,800,50,5.927461901985904e+207,0,LR (False)
10,18,30,900,900,50,3.2760948026659203e+242,0,LR (False)
11,18,30,100,100,50,0.0002703639824875335,0,LR (False)
0,19,30,10,10,50,1.7650477951682078e-07,0,LR (False)
1,19,30,50,50,50,5.311362790443459e-07,0,LR (False)
2,19,30,100,100,50,0.18352229944154425,0,LR (False)
3,19,30,200,200,50,22659.477366445233,0,LR (False)
4,19,30,300,300,50,196.05448630288927,0,LR (False)
5,19,30,400,400,50,55447.612547147124,0,LR (False)
6,19,30,500,500,50,1158174.888724486,0,LR (False)
7,19,30,600,600,50,2040040084599.4446,0,LR (False)
8,19,30,700,700,50,5.218730211989247e+189,0,LR (False)
9,19,30,800,800,50,1.9705120473091735e+133,0,LR (False)
10,19,30,900,900,50,5.533843527214249e+235,0,LR (False)
11,19,30,100,100,50,0.007269516266840311,0,LR (False)
0,20,30,10,10,50,3.4166981158599615e-07,0,LR (False)
1,20,30,50,50,50,1.9505694281533164e-05,0,LR (False)
