,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
84,21,1,2,2,50,0,4.1118337721261906e-07,0,LR (True)
85,21,3,2,2,50,0,1.263574752937914e-07,0,LR (True)
86,21,2,2,2,50,0,1.258746737040255e-07,0,LR (True)
87,21,1,2,2,50,0,4.1118337721261906e-07,0,LR (True)
88,22,1,2,2,50,0,1.3394594361439688e-05,0,LR (True)
89,22,3,2,2,50,0,3.299863538950558e-07,0,LR (True)
90,22,2,2,2,50,0,4.974176283475637e-07,0,LR (True)
91,22,1,2,2,50,0,1.3394594361439688e-05,0,LR (True)
92,23,1,2,2,50,0,0.0005705389839831962,0,LR (True)
93,23,3,2,2,50,0,1.7723492349715593e-07,0,LR (True)
94,23,2,2,2,50,0,2.9387292771861657e-06,0,LR (True)
95,23,1,2,2,50,0,0.0005705389839831962,0,LR (True)
96,24,1,2,2,50,0,1.5162160278610459e-05,0,LR (True)
97,24,3,2,2,50,0,5.401766928575885e-07,0,LR (True)
98,24,2,2,2,50,0,1.454010573770835e-05,0,LR (True)
99,24,1,2,2,50,0,1.5162160278610459e-05,0,LR (True)
100,25,1,2,2,50,0,1.2751882480734215e-05,0,LR (True)
101,25,3,2,2,50,0,2.1852715042391297e-06,0,LR (True)
102,25,2,2,2,50,0,3.484975720336772e-06,0,LR (True)
103,25,1,2,2,50,0,1.2751882480734215e-05,0,LR (True)
104,26,1,2,2,50,0,1.9880778079437787e-07,0,LR (True)
105,26,3,2,2,50,0,1.8151216870289234e-07,0,LR (True)
106,26,2,2,2,50,0,1.8043794226489591e-07,0,LR (True)
107,26,1,2,2,50,0,1.9880778079437787e-07,0,LR (True)
108,27,1,2,2,50,0,0.005240423714177048,0,LR (True)
109,27,3,2,2,50,0,1.2487917756202495e-06,0,LR (True)
110,27,2,2,2,50,0,5.229613770834126e-06,0,LR (True)
111,27,1,2,2,50,0,0.005240423714177048,0,LR (True)
112,28,1,2,2,50,0,6.255793553852529,0,LR (True)
113,28,3,2,2,50,0,3.01690731229839e-06,0,LR (True)
114,28,2,2,2,50,0,3.0176390249764687e-06,0,LR (True)
115,28,1,2,2,50,0,6.255793553852529,0,LR (True)
116,29,1,2,2,50,0,5.07726837572048e-07,0,LR (True)
117,29,3,2,2,50,0,4.992916960736806e-07,0,LR (True)
118,29,2,2,2,50,0,6.312387598834309e-07,0,LR (True)
119,29,1,2,2,50,0,5.07726837572048e-07,0,LR (True)
120,0,2,50,50,50,0,2.451181905143191e+163,0,LR (True)
121,0,4,50,50,50,0,7.633794792559138e+125,0,LR (True)
122,0,8,50,50,50,0,10915980.298903324,0,LR (True)
123,0,16,50,50,50,0,0.0013412994374714332,0,LR (True)
124,0,12,50,50,50,0,0.16184122782107221,0,LR (True)
125,0,10,50,50,50,0,806.7878658055015,0,LR (True)
126,0,9,50,50,50,0,8214.636053015016,0,LR (True)
127,0,9,50,50,50,0,8214.636053015016,0,LR (True)
128,1,2,50,50,50,0,2.3801194553544195e+186,0,LR (True)
129,1,4,50,50,50,0,5.138956384692126e+86,0,LR (True)
130,1,8,50,50,50,0,280.37103589888846,0,LR (True)
131,1,6,50,50,50,0,7342609.234613623,0,LR (True)
132,1,7,50,50,50,0,170365.838512325,0,LR (True)
133,1,7,50,50,50,0,170365.838512325,0,LR (True)
134,2,2,50,50,50,0,6.968782499142738e+165,0,LR (True)
135,2,4,50,50,50,0,1.695105529053931e+153,0,LR (True)
136,2,8,50,50,50,0,7554.609891093033,0,LR (True)
137,2,16,50,50,50,0,0.0005078851384940272,0,LR (True)
138,2,12,50,50,50,0,0.22776382519957927,0,LR (True)
139,2,10,50,50,50,0,16.592905481335013,0,LR (True)
140,2,9,50,50,50,0,42.113878883805775,0,LR (True)
141,2,8,50,50,50,0,7554.609891093033,0,LR (True)
142,3,2,50,50,50,0,3.945916256761382e+103,0,LR (True)
143,3,4,50,50,50,0,3.0151835486344594e+173,0,LR (True)
144,3,8,50,50,50,0,235690.3327857659,0,LR (True)
145,3,16,50,50,50,0,0.00027792365205624934,0,LR (True)
146,3,12,50,50,50,0,1.1957032805451002,0,LR (True)
147,3,10,50,50,50,0,19.3890864670298,0,LR (True)
148,3,9,50,50,50,0,1768.5519303928738,0,LR (True)
149,3,9,50,50,50,0,1768.5519303928738,0,LR (True)
150,4,2,50,50,50,0,2.0001025646000412e+190,0,LR (True)
151,4,4,50,50,50,0,1.1680670227068023e+87,0,LR (True)
152,4,8,50,50,50,0,91.56037168437985,0,LR (True)
153,4,6,50,50,50,0,9424915.673972324,0,LR (True)
154,4,7,50,50,50,0,30462.312261344014,0,LR (True)
155,4,7,50,50,50,0,30462.312261344014,0,LR (True)
156,5,2,50,50,50,0,1.4837857265022818e+182,0,LR (True)
157,5,4,50,50,50,0,1.2779375191163536e+151,0,LR (True)
158,5,8,50,50,50,0,644.5977099221461,0,LR (True)
159,5,6,50,50,50,0,1873566853.1613305,0,LR (True)
160,5,7,50,50,50,0,84076.03033694738,0,LR (True)
161,5,7,50,50,50,0,84076.03033694738,0,LR (True)
162,6,2,50,50,50,0,7.194549158380195e+230,0,LR (True)
163,6,4,50,50,50,0,5.52695654638783e+164,0,LR (True)
164,6,8,50,50,50,0,43819.29250334306,0,LR (True)
165,6,16,50,50,50,0,0.0014526016224633157,0,LR (True)
166,6,12,50,50,50,0,0.42215243956031046,0,LR (True)
167,6,10,50,50,50,0,15.170166614143412,0,LR (True)
168,6,9,50,50,50,0,23427.709463848234,0,LR (True)
169,6,9,50,50,50,0,23427.709463848234,0,LR (True)
170,7,2,50,50,50,0,2.454117154480864e+193,0,LR (True)
171,7,4,50,50,50,0,6.68715154539698e+137,0,LR (True)
172,7,8,50,50,50,0,1091.2515534941067,0,LR (True)
173,7,16,50,50,50,0,5.001565655286897e-06,0,LR (True)
174,7,12,50,50,50,0,0.0016451712379619635,0,LR (True)
175,7,10,50,50,50,0,0.1684229461648647,0,LR (True)
176,7,9,50,50,50,0,3.1583220613169094,0,LR (True)
177,7,8,50,50,50,0,1091.2515534941067,0,LR (True)
178,8,2,50,50,50,0,1.666241033657255e+185,0,LR (True)
179,8,4,50,50,50,0,7.587275542248868e+148,0,LR (True)
180,8,8,50,50,50,0,2718336.616665389,0,LR (True)
181,8,16,50,50,50,0,0.00022587291646590028,0,LR (True)
182,8,12,50,50,50,0,0.1679741496855971,0,LR (True)
183,8,10,50,50,50,0,11.936949327872584,0,LR (True)
184,8,9,50,50,50,0,531.7092967595124,0,LR (True)
185,8,8,50,50,50,0,2718336.616665389,0,LR (True)
186,9,2,50,50,50,0,8.956883841515897e+176,0,LR (True)
187,9,4,50,50,50,0,2.8046633790760946e+62,0,LR (True)
