,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,100,10,10,50,2.1498546030162953e-06,0,LR (True)
1,0,100,20,20,50,1.818068601938674e-06,0,LR (True)
2,0,100,30,30,50,4.642004347195592e-06,0,LR (True)
3,0,100,40,40,50,2.1156121326473637e-06,0,LR (True)
4,0,100,50,50,50,6.345567389134103e-07,0,LR (True)
5,0,100,60,60,50,5.607479972973794e-05,0,LR (True)
6,0,100,70,70,50,1.009993036604004e-07,0,LR (True)
7,0,100,80,80,50,5.872704337172996e-07,0,LR (True)
8,0,100,90,90,50,1.4832224879386177e-06,0,LR (True)
9,0,100,100,100,50,3.072452324119618e-07,0,LR (True)
0,1,100,10,10,50,5.916104499815113e-07,0,LR (True)
1,1,100,20,20,50,1.867341219943247e-07,0,LR (True)
2,1,100,30,30,50,1.4080224339343403e-05,0,LR (True)
3,1,100,40,40,50,1.658692752574877e-05,0,LR (True)
4,1,100,50,50,50,9.26603054789654e-07,0,LR (True)
5,1,100,60,60,50,9.028210748185656e-06,0,LR (True)
6,1,100,70,70,50,1.1065916742958898e-06,0,LR (True)
7,1,100,80,80,50,2.1878077799727915e-06,0,LR (True)
8,1,100,90,90,50,7.001713291050508e-06,0,LR (True)
9,1,100,100,100,50,3.845824608302026e-06,0,LR (True)
0,2,100,10,10,50,2.528358627244617e-07,0,LR (True)
1,2,100,20,20,50,6.299494164212927e-08,0,LR (True)
2,2,100,30,30,50,3.00902608438193e-07,0,LR (True)
3,2,100,40,40,50,3.5307668861872964e-06,0,LR (True)
4,2,100,50,50,50,2.81644125053402e-07,0,LR (True)
5,2,100,60,60,50,3.6685907733077736e-07,0,LR (True)
6,2,100,70,70,50,4.035449681054769e-07,0,LR (True)
7,2,100,80,80,50,6.172440797076275e-07,0,LR (True)
8,2,100,90,90,50,9.565891881880394e-07,0,LR (True)
9,2,100,100,100,50,7.313652310028728e-07,0,LR (True)
0,3,100,10,10,50,6.458341199267505e-07,0,LR (True)
1,3,100,20,20,50,1.583789313081049e-05,0,LR (True)
2,3,100,30,30,50,0.0016641022976250953,0,LR (True)
3,3,100,40,40,50,1.6222703644783023e-06,0,LR (True)
4,3,100,50,50,50,4.425547245433034e-06,0,LR (True)
5,3,100,60,60,50,3.6375320897788456e-07,0,LR (True)
6,3,100,70,70,50,3.3533580611962543e-06,0,LR (True)
