,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,1,30,30,50,251.85415693036688,0,Simple
1,10,30,30,50,5130.639383623509,0,Simple
2,100,30,30,50,216.65050559863553,0,Simple
3,1000,30,30,50,160.04571608655013,0,Simple
4,10000,30,30,50,34.01058416336288,0,Simple
0,1,30,30,50,690.6327305089433,0,Simple
1,10,30,30,50,649.1138286136676,0,Simple
2,100,30,30,50,608.3174872427415,0,Simple
3,1000,30,30,50,197.7090458752055,0,Simple
4,10000,30,30,50,1051.309916840822,0,Simple
0,1,30,30,50,179.2112843695847,0,Simple
1,10,30,30,50,193.99371349277683,0,Simple
2,100,30,30,50,189.22721428674035,0,Simple
3,1000,30,30,50,177.51042115889805,0,Simple
4,10000,30,30,50,162.44186578027296,0,Simple
0,1,30,30,50,1691.6608144911672,0,Simple
1,10,30,30,50,1785.9479076923642,0,Simple
2,100,30,30,50,1659.2912747372188,0,Simple
3,1000,30,30,50,1165.5071759320506,0,Simple
4,10000,30,30,50,1397.8813066464497,0,Simple
0,1,30,30,50,801187.0240043552,0,Simple
1,10,30,30,50,89125.5565808542,0,Simple
2,100,30,30,50,81471.248285053,0,Simple
3,1000,30,30,50,49238.33817375812,0,Simple
4,10000,30,30,50,56850.46088861339,0,Simple
0,1,30,30,50,1046.6092720264537,0,Simple
1,10,30,30,50,1168.6752472141322,0,Simple
2,100,30,30,50,1000.1588454547556,0,Simple
3,1000,30,30,50,483583.3823261286,0,Simple
4,10000,30,30,50,689.8103141270028,0,Simple
0,1,30,30,50,6.980104323796402,0,Simple
1,10,30,30,50,6.555492854773261,0,Simple
2,100,30,30,50,4.818550597720508,0,Simple
3,1000,30,30,50,2.527259008081594,0,Simple
4,10000,30,30,50,1.6106630134019924,0,Simple
0,1,30,30,50,52.826323070672565,0,Simple
1,10,30,30,50,66.89266226832083,0,Simple
2,100,30,30,50,61.94245762864097,0,Simple
3,1000,30,30,50,65.17628849494562,0,Simple
4,10000,30,30,50,72.47909719904747,0,Simple
0,1,30,30,50,1.6142907759288547,0,Simple
1,10,30,30,50,1.2615354551807012,0,Simple
2,100,30,30,50,1.1256044621628758,0,Simple
3,1000,30,30,50,0.6705319263510178,0,Simple
4,10000,30,30,50,0.6334979659559806,0,Simple
0,1,30,30,50,987.9728559681276,0,Simple
1,10,30,30,50,21.82323491604206,0,Simple
2,100,30,30,50,13.591620292112419,0,Simple
3,1000,30,30,50,6.3013452577299764,0,Simple
4,10000,30,30,50,3.3159564450935624,0,Simple
0,1,30,30,50,22.222511714012892,0,Simple
1,10,30,30,50,22.80772376926381,0,Simple
2,100,30,30,50,13.648507076373454,0,Simple
3,1000,30,30,50,11.596987800597956,0,Simple
4,10000,30,30,50,4.178470627448751,0,Simple
0,1,30,30,50,35.24801844662702,0,Simple
1,10,30,30,50,31.56436150044942,0,Simple
2,100,30,30,50,24.519874274148687,0,Simple
3,1000,30,30,50,11.835306492300303,0,Simple
4,10000,30,30,50,6.6610776431353615,0,Simple
0,1,30,30,50,61.98121887975859,0,Simple
1,10,30,30,50,59.34392615392839,0,Simple
2,100,30,30,50,3654.9031603298504,0,Simple
3,1000,30,30,50,41.186056324253215,0,Simple
4,10000,30,30,50,26.40868000520133,0,Simple
0,1,30,30,50,467.54640343570304,0,Simple
1,10,30,30,50,504.6481380689918,0,Simple
2,100,30,30,50,2581.6287104205235,0,Simple
3,1000,30,30,50,222.30679816229707,0,Simple
4,10000,30,30,50,106.18495865290535,0,Simple
0,1,30,30,50,108.29820443754716,0,Simple
1,10,30,30,50,99.22107189402733,0,Simple
2,100,30,30,50,92.7050073736401,0,Simple
3,1000,30,30,50,123.0888742913847,0,Simple
4,10000,30,30,50,44.91098974364906,0,Simple
0,1,30,30,50,3334.4984683391435,0,Simple
1,10,30,30,50,15.26402195736728,0,Simple
2,100,30,30,50,13.267917573366368,0,Simple
3,1000,30,30,50,15.206717267530017,0,Simple
4,10000,30,30,50,7.1168350747385585,0,Simple
0,1,30,30,50,60.44930070886228,0,Simple
1,10,30,30,50,6.418733543458908,0,Simple
2,100,30,30,50,5.794320265531767,0,Simple
3,1000,30,30,50,3.8560252683288785,0,Simple
4,10000,30,30,50,2.1562641419306217,0,Simple
0,1,30,30,50,633.0002659657887,0,Simple
1,10,30,30,50,674.7381972353809,0,Simple
2,100,30,30,50,604.9419002113367,0,Simple
3,1000,30,30,50,324.1670122668099,0,Simple
4,10000,30,30,50,54.13295400093873,0,Simple
0,1,30,30,50,12.689125471415675,0,Simple
1,10,30,30,50,14.76158267534661,0,Simple
2,100,30,30,50,10.370366214644577,0,Simple
3,1000,30,30,50,5.153341328794358,0,Simple
4,10000,30,30,50,3.254272833684448,0,Simple
0,1,30,30,50,173201.8643851831,0,Simple
1,10,30,30,50,181622.86867582792,0,Simple
2,100,30,30,50,190373.7933018266,0,Simple
3,1000,30,30,50,196226.97338434865,0,Simple
4,10000,30,30,50,68422.45315728431,0,Simple
0,1,30,30,50,454.0767276047299,0,Simple
1,10,30,30,50,498.307166606443,0,Simple
2,100,30,30,50,492.558484039671,0,Simple
3,1000,30,30,50,297.5642739602632,0,Simple
4,10000,30,30,50,469.22482787565883,0,Simple
0,1,30,30,50,917.8335763023105,0,Simple
1,10,30,30,50,968.5561478994877,0,Simple
2,100,30,30,50,988.7903244592459,0,Simple
3,1000,30,30,50,485.094219812223,0,Simple
4,10000,30,30,50,118.82325686266189,0,Simple
0,1,30,30,50,90.18622615858267,0,Simple
1,10,30,30,50,78.8171642755175,0,Simple
2,100,30,30,50,83.3144075902783,0,Simple
3,1000,30,30,50,45.171236698458486,0,Simple
4,10000,30,30,50,34.86075964652453,0,Simple
0,1,30,30,50,8.986967227744833,0,Simple
1,10,30,30,50,9.43577382370566,0,Simple
2,100,30,30,50,9.877375960372968,0,Simple
3,1000,30,30,50,6.243303307873161,0,Simple
4,10000,30,30,50,4.00550531109719,0,Simple
0,1,30,30,50,1984.2160851853796,0,Simple
1,10,30,30,50,1871.0570563108474,0,Simple
2,100,30,30,50,1818.2922490056374,0,Simple
3,1000,30,30,50,940.2974068835906,0,Simple
4,10000,30,30,50,664.1280880724718,0,Simple
0,1,30,30,50,900.8859839884668,0,Simple
1,10,30,30,50,672.5046111340907,0,Simple
2,100,30,30,50,700.4290459287502,0,Simple
3,1000,30,30,50,290.3434932098141,0,Simple
4,10000,30,30,50,601.6360051875826,0,Simple
0,1,30,30,50,5527.792119988662,0,Simple
1,10,30,30,50,3807.9372057484547,0,Simple
2,100,30,30,50,3859.8856126806954,0,Simple
3,1000,30,30,50,286384.4519663597,0,Simple
4,10000,30,30,50,2931.6727086396186,0,Simple
0,1,30,30,50,23.571228664155083,0,Simple
1,10,30,30,50,197498.4445763193,0,Simple
2,100,30,30,50,33.70189343177205,0,Simple
3,1000,30,30,50,42.386451411779404,0,Simple
4,10000,30,30,50,12.947500293504598,0,Simple
0,1,30,30,50,152824.66359058363,0,Simple
1,10,30,30,50,143947.70924020483,0,Simple
2,100,30,30,50,113612.7821806368,0,Simple
3,1000,30,30,50,735991.8337565195,0,Simple
4,10000,30,30,50,137265.76560718557,0,Simple
0,1,30,30,50,30.937499480752457,0,Simple
1,10,30,30,50,26.4815342361824,0,Simple
2,100,30,30,50,2145234954446.6091,0,Simple
3,1000,30,30,50,4.46316121642451,0,Simple
4,10000,30,30,50,1.5239832946201954,0,Simple
