,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,100,50,50,50,6.62986342165693e-05,0,LR
1,110,50,50,50,7.60986338259907e-05,0,LR
2,120,50,50,50,5.364039938609916e-05,0,LR
3,130,50,50,50,5.952420963299418e-05,0,LR
4,140,50,50,50,7.653036089904824e-05,0,LR
5,150,50,50,50,6.113692885319424e-05,0,LR
6,160,50,50,50,6.838185279663006e-05,0,LR
7,170,50,50,50,6.686793520117309e-05,0,LR
8,180,50,50,50,6.542944755374127e-05,0,LR
9,190,50,50,50,5.998197063763256e-05,0,LR
10,200,50,50,50,6.696625102290901e-05,0,LR
11,210,50,50,50,5.748945709451239e-05,0,LR
12,220,50,50,50,4.972922664018325e-05,0,LR
13,230,50,50,50,5.2167910742133785e-05,0,LR
14,240,50,50,50,4.851915535740583e-05,0,LR
15,250,50,50,50,5.8418619344264455e-05,0,LR
16,260,50,50,50,4.6699113184329586e-05,0,LR
17,270,50,50,50,7.040308322406591e-05,0,LR
18,280,50,50,50,4.876392510061714e-05,0,LR
19,290,50,50,50,5.581270689139994e-05,0,LR
20,300,50,50,50,5.485645333251081e-05,0,LR
21,310,50,50,50,5.044644786721275e-05,0,LR
22,320,50,50,50,5.23199735938819e-05,0,LR
23,330,50,50,50,5.563039902015342e-05,0,LR
24,340,50,50,50,5.9572898532112035e-05,0,LR
25,350,50,50,50,6.551599585250027e-05,0,LR
26,360,50,50,50,5.617538917584024e-05,0,LR
27,370,50,50,50,5.616553908818544e-05,0,LR
28,380,50,50,50,4.6990600006847045e-05,0,LR
29,390,50,50,50,5.410605692751206e-05,0,LR
30,400,50,50,50,5.341196527332621e-05,0,LR
31,410,50,50,50,5.658396343232834e-05,0,LR
32,420,50,50,50,5.6474685038295344e-05,0,LR
33,430,50,50,50,5.336350333704787e-05,0,LR
34,440,50,50,50,4.894381671887686e-05,0,LR
35,450,50,50,50,6.17254998379532e-05,0,LR
36,460,50,50,50,5.156561852186697e-05,0,LR
37,470,50,50,50,5.1297354706395976e-05,0,LR
38,480,50,50,50,5.7234573274903623e-05,0,LR
39,490,50,50,50,4.5443984088527354e-05,0,LR
40,500,50,50,50,4.798255974698794e-05,0,LR
41,510,50,50,50,5.342286516298983e-05,0,LR
42,520,50,50,50,6.379046865612035e-05,0,LR
43,530,50,50,50,4.5623641933333855e-05,0,LR
44,540,50,50,50,5.3527841261995366e-05,0,LR
45,550,50,50,50,5.733841227488104e-05,0,LR
46,560,50,50,50,6.73584308794556e-05,0,LR
47,570,50,50,50,5.471707092408435e-05,0,LR
48,580,50,50,50,5.107482304951303e-05,0,LR
49,590,50,50,50,5.490562744431916e-05,0,LR
50,600,50,50,50,5.51009507475313e-05,0,LR
51,610,50,50,50,6.235404678637913e-05,0,LR
52,620,50,50,50,5.199376506972277e-05,0,LR
53,630,50,50,50,5.1220680010745725e-05,0,LR
54,640,50,50,50,5.677193660355059e-05,0,LR
55,650,50,50,50,5.286494574031306e-05,0,LR
56,660,50,50,50,5.3329398192189186e-05,0,LR
57,670,50,50,50,6.379971898861646e-05,0,LR
58,680,50,50,50,6.064102547612484e-05,0,LR
59,690,50,50,50,5.3380904112428614e-05,0,LR
60,700,50,50,50,5.7296160027181964e-05,0,LR
61,710,50,50,50,5.6871600270472954e-05,0,LR
62,720,50,50,50,6.276416595773459e-05,0,LR
63,730,50,50,50,6.279047693739031e-05,0,LR
64,740,50,50,50,5.846715933573916e-05,0,LR
65,750,50,50,50,6.087855470776801e-05,0,LR
66,760,50,50,50,6.0551677208562655e-05,0,LR
67,770,50,50,50,5.6826909405315214e-05,0,LR
68,780,50,50,50,5.4655644788489756e-05,0,LR
69,790,50,50,50,5.795331890428055e-05,0,LR
70,800,50,50,50,6.329189114740358e-05,0,LR
71,810,50,50,50,5.275616360355977e-05,0,LR
72,820,50,50,50,5.490400845061616e-05,0,LR
73,830,50,50,50,5.471680122660245e-05,0,LR
74,840,50,50,50,6.28006094350739e-05,0,LR
75,850,50,50,50,4.873757260918501e-05,0,LR
76,860,50,50,50,5.765476481345268e-05,0,LR
77,870,50,50,50,4.646588032223823e-05,0,LR
78,880,50,50,50,5.561746564314605e-05,0,LR
79,890,50,50,50,5.098355434405934e-05,0,LR
80,900,50,50,50,5.038101882152864e-05,0,LR
81,910,50,50,50,4.927112166511934e-05,0,LR
82,920,50,50,50,5.86997009572629e-05,0,LR
83,930,50,50,50,5.2402591809264765e-05,0,LR
84,940,50,50,50,6.673716126907024e-05,0,LR
85,950,50,50,50,5.590562329728126e-05,0,LR
86,960,50,50,50,5.475385883896191e-05,0,LR
87,970,50,50,50,5.809361235766311e-05,0,LR
88,980,50,50,50,6.672088441873959e-05,0,LR
89,990,50,50,50,5.2572340591424e-05,0,LR
90,1000,50,50,50,5.0852701723821764e-05,0,LR
