,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
3,500,100,100,50,0.0003025100464362914,0,LR
4,500,500,500,50,0.028551947035637473,0,LR
5,500,1000,1000,50,0.00046055539736895434,0,LR
0,500,5,5,50,1.3194526636208353e-06,0,LR
1,500,10,10,50,3.248636266750279e-05,0,LR
2,500,50,50,50,0.00018008605381342023,0,LR
3,500,100,100,50,8.147872043178147e-06,0,LR
4,500,500,500,50,0.0006242341428279047,0,LR
5,500,1000,1000,50,0.08020970334922291,0,LR
0,500,5,5,50,0.0006725927545015474,0,LR
1,500,10,10,50,1.7469545032894719e-07,0,LR
2,500,50,50,50,0.010087789230343477,0,LR
3,500,100,100,50,0.0008922659349954075,0,LR
4,500,500,500,50,0.0002688643672854922,0,LR
5,500,1000,1000,50,0.0005331519138618056,0,LR
0,500,5,5,50,2.469720229670691e-07,0,LR
1,500,10,10,50,8.598678482555225e-06,0,LR
2,500,50,50,50,0.00035663081850019945,0,LR
3,500,100,100,50,0.14678060603153753,0,LR
4,500,500,500,50,0.0009352580120571395,0,LR
5,500,1000,1000,50,0.06011872760617512,0,LR
0,500,5,5,50,2.9121897933539793e-07,0,LR
1,500,10,10,50,1.240377807453299e-07,0,LR
2,500,50,50,50,6.724391359290425e-06,0,LR
3,500,100,100,50,4.06644259767977e-05,0,LR
4,500,500,500,50,0.003218533008422241,0,LR
5,500,1000,1000,50,0.017719871509736848,0,LR
0,500,5,5,50,3.143583292297559e-07,0,LR
1,500,10,10,50,2.257576552334713e-05,0,LR
2,500,50,50,50,0.00012335440122050511,0,LR
3,500,100,100,50,1.3683272483049358,0,LR
4,500,500,500,50,0.0022247754911280263,0,LR
5,500,1000,1000,50,0.21215578484491318,0,LR
0,500,5,5,50,8.899662055732408e-06,0,LR
1,500,10,10,50,2.2347440811239148e-07,0,LR
2,500,50,50,50,9.4098231780095e-07,0,LR
3,500,100,100,50,8.585981878050083e-05,0,LR
4,500,500,500,50,0.0013102846906900278,0,LR
5,500,1000,1000,50,0.005937446585529973,0,LR
0,500,5,5,50,1.4741833793607249e-05,0,LR
1,500,10,10,50,1.6172194094253217e-07,0,LR
2,500,50,50,50,2.7912748679353887e-07,0,LR
3,500,100,100,50,3.2170370606512905e-05,0,LR
4,500,500,500,50,0.00011011185230251992,0,LR
5,500,1000,1000,50,0.0024958749834486866,0,LR
0,500,5,5,50,3.077724833312653e-07,0,LR
1,500,10,10,50,2.1633791034961032e-05,0,LR
2,500,50,50,50,0.0012002707960813964,0,LR
3,500,100,100,50,7.81910545350414e-06,0,LR
4,500,500,500,50,1.8010523953051094e-05,0,LR
5,500,1000,1000,50,0.11812433285414542,0,LR
0,500,5,5,50,2.120803950539003e-06,0,LR
1,500,10,10,50,9.796423068637191e-07,0,LR
2,500,50,50,50,0.008656239096407947,0,LR
3,500,100,100,50,9.134187919220079e-06,0,LR
4,500,500,500,50,0.0016450652863682232,0,LR
5,500,1000,1000,50,0.45553918176548563,0,LR
0,500,5,5,50,2.1433297632486825e-06,0,LR
1,500,10,10,50,0.00013690241101963244,0,LR
2,500,50,50,50,2.8099800894904886e-05,0,LR
3,500,100,100,50,7.18944232453003e-06,0,LR
4,500,500,500,50,0.0007980869432517254,0,LR
5,500,1000,1000,50,0.00019557474363233343,0,LR
0,500,5,5,50,4.885638336839624e-07,0,LR
1,500,10,10,50,8.514220853447816e-07,0,LR
2,500,50,50,50,5.358467674927816e-05,0,LR
3,500,100,100,50,0.0005207338729825468,0,LR
4,500,500,500,50,0.01361763312197532,0,LR
5,500,1000,1000,50,0.17984420474350796,0,LR
0,500,5,5,50,7.258735937886333e-07,0,LR
1,500,10,10,50,1.207038332966522e-06,0,LR
2,500,50,50,50,1.1635185151541825e-05,0,LR
3,500,100,100,50,6.041024149644382e-06,0,LR
4,500,500,500,50,0.10317016011659282,0,LR
5,500,1000,1000,50,0.19275809436952782,0,LR
0,500,5,5,50,2.307733005197797e-07,0,LR
1,500,10,10,50,3.3309043265812724e-07,0,LR
2,500,50,50,50,1.3007102656279615e-05,0,LR
3,500,100,100,50,2.8500934294477282e-05,0,LR
4,500,500,500,50,0.00015080888439782643,0,LR
5,500,1000,1000,50,0.063745442973422,0,LR
0,500,5,5,50,1.0593107830891445e-06,0,LR
1,500,10,10,50,1.954611238211745e-06,0,LR
2,500,50,50,50,3.06703238630624e-05,0,LR
3,500,100,100,50,0.02916298676747629,0,LR
4,500,500,500,50,0.011575992004393585,0,LR
5,500,1000,1000,50,0.0008356871974063688,0,LR
0,500,5,5,50,5.848662566401173e-07,0,LR
1,500,10,10,50,3.7777951751643406e-07,0,LR
2,500,50,50,50,2.9173070995804355e-05,0,LR
3,500,100,100,50,5.8109418449505266e-05,0,LR
4,500,500,500,50,0.6143469747604535,0,LR
5,500,1000,1000,50,0.000727376980221458,0,LR
0,500,5,5,50,2.3583410446547512e-07,0,LR
1,500,10,10,50,1.2600097700166083e-06,0,LR
2,500,50,50,50,3.102381019796219e-05,0,LR
3,500,100,100,50,2.6793748083756724e-05,0,LR
4,500,500,500,50,6.836990996953426e-05,0,LR
5,500,1000,1000,50,6.312494540101815e-05,0,LR
0,500,5,5,50,6.567151262687181e-05,0,LR
1,500,10,10,50,1.6141948016637725e-06,0,LR
2,500,50,50,50,3.221519991373577e-05,0,LR
3,500,100,100,50,4.445411831883863e-05,0,LR
4,500,500,500,50,0.0023636890366236815,0,LR
5,500,1000,1000,50,0.0012573273767736543,0,LR
0,500,5,5,50,1.9416083714383884e-06,0,LR
1,500,10,10,50,1.418005906043265e-06,0,LR
2,500,50,50,50,4.2332427567756754e-05,0,LR
3,500,100,100,50,0.00011540238966838726,0,LR
4,500,500,500,50,0.0003497381903966082,0,LR
5,500,1000,1000,50,0.020579518329315944,0,LR
0,500,5,5,50,7.753124229535544e-05,0,LR
1,500,10,10,50,4.7580515853418495e-05,0,LR
2,500,50,50,50,7.944037088260327e-05,0,LR
3,500,100,100,50,0.10603740702424666,0,LR
4,500,500,500,50,0.0008926339147648094,0,LR
5,500,1000,1000,50,354.6000863502751,0,LR
0,500,5,5,50,2.7584199665697464e-07,0,LR
1,500,10,10,50,2.1950751517239754e-05,0,LR
2,500,50,50,50,1.6170217434021044e-05,0,LR
3,500,100,100,50,8.05651564429831e-06,0,LR
4,500,500,500,50,0.0010482908455823332,0,LR
5,500,1000,1000,50,0.006001882131543856,0,LR
0,500,5,5,50,1.0573717627902217e-05,0,LR
1,500,10,10,50,3.111302883948031e-07,0,LR
2,500,50,50,50,7.980443616359872e-07,0,LR
3,500,100,100,50,7.55283614412417e-05,0,LR
4,500,500,500,50,0.0002695295735286496,0,LR
5,500,1000,1000,50,0.0009704343444843,0,LR
0,500,5,5,50,1.002772780074903e-06,0,LR
1,500,10,10,50,5.342251964092974e-07,0,LR
2,500,50,50,50,1.7916838016159598e-05,0,LR
3,500,100,100,50,8.660636055079891e-06,0,LR
4,500,500,500,50,14.91611202996504,0,LR
5,500,1000,1000,50,3.5106217420052,0,LR
0,500,5,5,50,1.19409504623164e-05,0,LR
1,500,10,10,50,3.5821403140595466e-05,0,LR
2,500,50,50,50,1.516949123791139e-06,0,LR
3,500,100,100,50,0.002055321681024949,0,LR
4,500,500,500,50,0.00010000949288640927,0,LR
5,500,1000,1000,50,0.0005300510888545225,0,LR
0,500,5,5,50,1.3317206175787072e-07,0,LR
1,500,10,10,50,8.820310706049527e-06,0,LR
2,500,50,50,50,0.0049847542971370425,0,LR
3,500,100,100,50,1.2521897317440458e-06,0,LR
4,500,500,500,50,0.19878131796332937,0,LR
5,500,1000,1000,50,0.048569898839381814,0,LR
0,500,5,5,50,2.738045289898725e-06,0,LR
1,500,10,10,50,6.284152960818762e-06,0,LR
2,500,50,50,50,2.2548286318239295e-06,0,LR
3,500,100,100,50,0.0001095331827942481,0,LR
4,500,500,500,50,0.0018975394195187825,0,LR
5,500,1000,1000,50,0.03085988507675126,0,LR
0,500,5,5,50,4.0326487141623465e-07,0,LR
1,500,10,10,50,9.551185349048603e-06,0,LR
2,500,50,50,50,0.0002858478486796745,0,LR
3,500,100,100,50,0.000126781357685286,0,LR
4,500,500,500,50,0.0008017125892866455,0,LR
5,500,1000,1000,50,0.035143351385594566,0,LR
0,500,5,5,50,1.706591182795614e-05,0,LR
1,500,10,10,50,4.122593074652412e-06,0,LR
2,500,50,50,50,0.017777838844990936,0,LR
3,500,100,100,50,1.321402767475466e-05,0,LR
4,500,500,500,50,0.0006992661237749659,0,LR
5,500,1000,1000,50,0.0005682925391769366,0,LR
0,500,5,5,50,4.235995665741638e-06,0,LR
1,500,10,10,50,6.587584593598892e-07,0,LR
2,500,50,50,50,2.9995335887387306e-06,0,LR
3,500,100,100,50,0.0017169413925231128,0,LR
4,500,500,500,50,0.0017993167130489008,0,LR
5,500,1000,1000,50,1.5163636592590015,0,LR
0,500,5,5,50,4.62284094917638e-06,0,LR
1,500,10,10,50,2.9291179362536764e-07,0,LR
2,500,50,50,50,1.1609481101883299e-05,0,LR
3,500,100,100,50,6.431572236646906e-05,0,LR
4,500,500,500,50,0.0029712478397724133,0,LR
5,500,1000,1000,50,0.0013811277625418942,0,LR
0,500,5,5,50,1.3703653219741738e-06,0,LR
1,500,10,10,50,1.4693662216379929e-06,0,LR
2,500,50,50,50,1.2015162468217088e-05,0,LR
3,500,100,100,50,0.0001230231136188139,0,LR
4,500,500,500,50,0.0001360566308874432,0,LR
5,500,1000,1000,50,0.05707170645723962,0,LR
0,500,5,5,50,1.698069419847889e-07,0,LR
1,500,10,10,50,6.327756975864395e-05,0,LR
2,500,50,50,50,2.378755300331521e-05,0,LR
3,500,100,100,50,0.0010997073917174659,0,LR
4,500,500,500,50,0.0047490278729830195,0,LR
5,500,1000,1000,50,0.001354510984568247,0,LR
0,500,5,5,50,7.757293170230488e-07,0,LR
1,500,10,10,50,1.494164383833781e-07,0,LR
2,500,50,50,50,1.3168246265787105,0,LR
3,500,100,100,50,0.0010603388445819346,0,LR
4,500,500,500,50,0.007076000984578645,0,LR
5,500,1000,1000,50,0.004691551554413304,0,LR
0,500,5,5,50,2.911924915388528e-06,0,LR
1,500,10,10,50,2.5627206815893524e-07,0,LR
2,500,50,50,50,0.0003944340040792831,0,LR
3,500,100,100,50,0.0036142224201891338,0,LR
4,500,500,500,50,0.20526147716062032,0,LR
5,500,1000,1000,50,0.14856149475791675,0,LR
0,500,5,5,50,2.7703624429812987e-05,0,LR
1,500,10,10,50,1.5832192772820356e-06,0,LR
2,500,50,50,50,0.00015857059347639522,0,LR
3,500,100,100,50,1.3099626522979526e-05,0,LR
4,500,500,500,50,0.0015640785426933163,0,LR
5,500,1000,1000,50,0.0002794909097092801,0,LR
0,500,5,5,50,4.603066674112014e-07,0,LR
1,500,10,10,50,1.7432977851718182e-07,0,LR
2,500,50,50,50,1.0230641956808497e-05,0,LR
3,500,100,100,50,4.483196420366836e-05,0,LR
4,500,500,500,50,0.00018667000636768573,0,LR
5,500,1000,1000,50,0.002399812425035777,0,LR
0,500,5,5,50,8.82404967425453e-05,0,LR
1,500,10,10,50,4.784509153419406e-06,0,LR
2,500,50,50,50,4.0589069650945995e-05,0,LR
3,500,100,100,50,0.0030314455665510338,0,LR
4,500,500,500,50,0.003254065680428209,0,LR
5,500,1000,1000,50,0.0016566910100996814,0,LR
0,500,5,5,50,1.2361885939028646e-06,0,LR
1,500,10,10,50,0.023228320282804926,0,LR
2,500,50,50,50,1.1203845431573077e-05,0,LR
3,500,100,100,50,5.409077957734677e-06,0,LR
4,500,500,500,50,8.244653893012815e-05,0,LR
5,500,1000,1000,50,0.023523785873963653,0,LR
0,500,5,5,50,4.145289431654483e-06,0,LR
1,500,10,10,50,7.300938557983687e-07,0,LR
2,500,50,50,50,4.303985334572294e-06,0,LR
3,500,100,100,50,1.890804102749293e-05,0,LR
4,500,500,500,50,0.0010928944394946404,0,LR
5,500,1000,1000,50,0.0012242948927768092,0,LR
0,500,5,5,50,4.910321786069948e-07,0,LR
1,500,10,10,50,6.47455233291643e-07,0,LR
2,500,50,50,50,3.102008262983908e-05,0,LR
3,500,100,100,50,0.0009403229092952155,0,LR
4,500,500,500,50,0.0001321716358502082,0,LR
5,500,1000,1000,50,0.14123145194846706,0,LR
0,500,5,5,50,7.97897819227781e-06,0,LR
1,500,10,10,50,2.798762908403075e-07,0,LR
2,500,50,50,50,2.1415926074057202e-06,0,LR
3,500,100,100,50,2.166384032774731e-05,0,LR
4,500,500,500,50,99.50802086323722,0,LR
5,500,1000,1000,50,0.014619510717538715,0,LR
0,500,5,5,50,1.7228168553116563e-06,0,LR
1,500,10,10,50,4.831255671872495e-07,0,LR
2,500,50,50,50,0.0004935185385667526,0,LR
3,500,100,100,50,7.278487239047537e-05,0,LR
4,500,500,500,50,0.007772552308260434,0,LR
5,500,1000,1000,50,0.018021171977708098,0,LR
0,500,5,5,50,6.552030775042035e-07,0,LR
1,500,10,10,50,3.44326093214466e-06,0,LR
2,500,50,50,50,7.735840160498704e-06,0,LR
3,500,100,100,50,2.541615009359127e-05,0,LR
4,500,500,500,50,0.0034831356837309586,0,LR
5,500,1000,1000,50,2.3779902928189203,0,LR
0,500,5,5,50,5.3453356092721426e-06,0,LR
1,500,10,10,50,1.159100031098974e-06,0,LR
2,500,50,50,50,3.6470481686956945e-05,0,LR
3,500,100,100,50,0.00015402029444460178,0,LR
4,500,500,500,50,8.03004460375081e-05,0,LR
5,500,1000,1000,50,0.178161691243621,0,LR
0,500,5,5,50,2.693455524691433e-07,0,LR
1,500,10,10,50,0.028446448837159192,0,LR
2,500,50,50,50,1.4389241332490024e-06,0,LR
3,500,100,100,50,0.0003782270903321788,0,LR
4,500,500,500,50,0.00017969010043228907,0,LR
5,500,1000,1000,50,0.000956950682589272,0,LR
0,500,5,5,50,4.758514837529094e-07,0,LR
1,500,10,10,50,2.104520690479571e-05,0,LR
2,500,50,50,50,6.2584859090006885e-06,0,LR
3,500,100,100,50,5.913722448377266e-06,0,LR
4,500,500,500,50,1.9145374282376045e-05,0,LR
5,500,1000,1000,50,11.928390533691791,0,LR
0,500,5,5,50,183.69092490310084,0,LR
1,500,10,10,50,2.9228004016054586e-06,0,LR
2,500,50,50,50,0.0021406978189459198,0,LR
3,500,100,100,50,1.7354078755865896e-06,0,LR
4,500,500,500,50,0.0039952519664546065,0,LR
5,500,1000,1000,50,0.0006243031243867158,0,LR
0,500,5,5,50,2.1490294405773116e-05,0,LR
1,500,10,10,50,2.724709106881027e-06,0,LR
2,500,50,50,50,0.00013532404410202258,0,LR
3,500,100,100,50,0.00014021874822282704,0,LR
4,500,500,500,50,0.00018690846197087795,0,LR
5,500,1000,1000,50,0.0006343633871162613,0,LR
0,500,5,5,50,2.0292156569891537e-06,0,LR
1,500,10,10,50,4.194088532245102e-07,0,LR
2,500,50,50,50,0.00012424851856955566,0,LR
3,500,100,100,50,0.0037963544591169416,0,LR
4,500,500,500,50,0.003060977087764101,0,LR
5,500,1000,1000,50,0.0018652240431035322,0,LR
0,500,5,5,50,1.8732889356492843e-06,0,LR
1,500,10,10,50,3.7634564715003244e-06,0,LR
2,500,50,50,50,0.00013799407165323506,0,LR
3,500,100,100,50,0.0007021930841156328,0,LR
4,500,500,500,50,0.6811092905253153,0,LR
5,500,1000,1000,50,0.014685199763868222,0,LR
0,500,5,5,50,1.3283610702660015e-06,0,LR
1,500,10,10,50,2.4929947163814417e-07,0,LR
2,500,50,50,50,1.2881399496017226e-05,0,LR
3,500,100,100,50,1.3895957465825597,0,LR
4,500,500,500,50,0.04586809690632502,0,LR
5,500,1000,1000,50,0.0012431774081176326,0,LR
0,500,5,5,50,2.3813397512631256e-06,0,LR
1,500,10,10,50,6.985987556466853e-07,0,LR
2,500,50,50,50,9.193442835796587e-05,0,LR
3,500,100,100,50,0.010194223193815443,0,LR
4,500,500,500,50,0.0002155930386530645,0,LR
5,500,1000,1000,50,0.010797757958006101,0,LR
0,500,5,5,50,0.000214529557081581,0,LR
1,500,10,10,50,3.3004685481603635e-06,0,LR
2,500,50,50,50,0.0003468195224547183,0,LR
3,500,100,100,50,8.228970807633274e-05,0,LR
4,500,500,500,50,7.174347627853899e-06,0,LR
5,500,1000,1000,50,0.00019772517787774508,0,LR
0,500,5,5,50,4.210143587834165e-07,0,LR
1,500,10,10,50,2.530529910136791e-06,0,LR
2,500,50,50,50,2.6222996550664862e-05,0,LR
3,500,100,100,50,3.687862063946971e-05,0,LR
4,500,500,500,50,0.6744106757675282,0,LR
5,500,1000,1000,50,0.016682486397239467,0,LR
0,500,5,5,50,3.0423881973657994e-06,0,LR
1,500,10,10,50,1.653903774063932e-05,0,LR
2,500,50,50,50,2.0284156946925065e-06,0,LR
3,500,100,100,50,1.2387289903693857e-05,0,LR
4,500,500,500,50,7.486837695992976e-05,0,LR
5,500,1000,1000,50,0.011391680678883003,0,LR
0,500,5,5,50,1.1081224637096055e-06,0,LR
1,500,10,10,50,0.0001648636682063812,0,LR
2,500,50,50,50,4.721049892297222e-05,0,LR
3,500,100,100,50,0.007189321394062521,0,LR
4,500,500,500,50,0.02312978625455586,0,LR
5,500,1000,1000,50,0.07689889762523545,0,LR
0,500,5,5,50,2.7072334569611697e-07,0,LR
1,500,10,10,50,1.213798264497061e-06,0,LR
2,500,50,50,50,0.018069396598056595,0,LR
3,500,100,100,50,0.0001843895121289342,0,LR
4,500,500,500,50,6.337635910312298e-05,0,LR
5,500,1000,1000,50,0.007931992423090587,0,LR
0,500,5,5,50,6.636684920279013e-06,0,LR
1,500,10,10,50,6.539886047024747e-07,0,LR
2,500,50,50,50,2.789315756466224e-05,0,LR
3,500,100,100,50,0.0003452320781222611,0,LR
4,500,500,500,50,0.0011727072647658816,0,LR
5,500,1000,1000,50,0.03329582285761,0,LR
0,500,5,5,50,3.1762627922351386e-07,0,LR
1,500,10,10,50,3.2481352333924775e-06,0,LR
2,500,50,50,50,5.729743409405065,0,LR
3,500,100,100,50,2.882369700754869e-05,0,LR
4,500,500,500,50,0.0003955847579670034,0,LR
5,500,1000,1000,50,0.06989871159656019,0,LR
0,500,5,5,50,2.2571883570249863e-07,0,LR
1,500,10,10,50,0.0017900203441767494,0,LR
2,500,50,50,50,5.345920689578042e-05,0,LR
3,500,100,100,50,5.918269281023509e-06,0,LR
4,500,500,500,50,0.003879898844942009,0,LR
5,500,1000,1000,50,1.5534028884739701,0,LR
0,500,5,5,50,8.564102911354211e-07,0,LR
1,500,10,10,50,5.176292710816999e-07,0,LR
2,500,50,50,50,5.426387385462406e-06,0,LR
3,500,100,100,50,2.685044355502603e-06,0,LR
4,500,500,500,50,0.11198628442369048,0,LR
5,500,1000,1000,50,0.006738708496916518,0,LR
0,500,5,5,50,5.656994662480546e-07,0,LR
1,500,10,10,50,5.867932464571342e-07,0,LR
2,500,50,50,50,1.1862610347000186e-06,0,LR
3,500,100,100,50,1.461738974466515e-06,0,LR
4,500,500,500,50,0.02010824844883891,0,LR
5,500,1000,1000,50,0.07668815553239217,0,LR
0,500,5,5,50,3.7392747754473406e-07,0,LR
1,500,10,10,50,2.3116860409629874e-07,0,LR
2,500,50,50,50,0.0002281402623570268,0,LR
3,500,100,100,50,0.0021427053465490507,0,LR
4,500,500,500,50,4.111336621268224e-05,0,LR
5,500,1000,1000,50,5.871542918032603,0,LR
0,500,5,5,50,1.9754168613991768e-05,0,LR
1,500,10,10,50,3.825567556857004e-07,0,LR
2,500,50,50,50,0.0007045416576166781,0,LR
3,500,100,100,50,0.0003624802683758715,0,LR
4,500,500,500,50,0.0020144325654973,0,LR
5,500,1000,1000,50,0.02848561639042914,0,LR
0,500,5,5,50,1.9626720684011605e-06,0,LR
1,500,10,10,50,3.225909471241973e-06,0,LR
2,500,50,50,50,8.592981332179673e-06,0,LR
3,500,100,100,50,5.227811394506579e-06,0,LR
4,500,500,500,50,0.00031134737315466365,0,LR
5,500,1000,1000,50,0.0017355958934772901,0,LR
0,500,5,5,50,1.0942377587703288e-06,0,LR
1,500,10,10,50,1.984328829784023e-06,0,LR
2,500,50,50,50,2.0846982944937128e-05,0,LR
3,500,100,100,50,1.9056133349241858e-05,0,LR
4,500,500,500,50,0.013253675030274687,0,LR
5,500,1000,1000,50,0.08725877026515903,0,LR
0,500,5,5,50,6.706875634117469e-06,0,LR
1,500,10,10,50,7.03020006862098e-07,0,LR
2,500,50,50,50,0.0015449693538958562,0,LR
3,500,100,100,50,3.209432519736993e-05,0,LR
4,500,500,500,50,0.06528220208309732,0,LR
5,500,1000,1000,50,0.005794477264477504,0,LR
0,500,5,5,50,3.1692825297722385e-07,0,LR
1,500,10,10,50,1.4664372082775891e-06,0,LR
2,500,50,50,50,6.962835366064416e-07,0,LR
3,500,100,100,50,4.532056929250726e-05,0,LR
4,500,500,500,50,0.17747409890050858,0,LR
5,500,1000,1000,50,2.4119916831277743,0,LR
0,500,5,5,50,1.6198532712944991e-06,0,LR
1,500,10,10,50,5.465917522613768e-06,0,LR
2,500,50,50,50,0.13773667415779264,0,LR
3,500,100,100,50,0.003408163833769436,0,LR
4,500,500,500,50,0.0002960569301484471,0,LR
5,500,1000,1000,50,0.0006924171862908494,0,LR
0,500,5,5,50,7.072804085909637e-07,0,LR
1,500,10,10,50,0.00022026589313336363,0,LR
2,500,50,50,50,3.7283892436090406e-06,0,LR
3,500,100,100,50,0.0007099012009846297,0,LR
4,500,500,500,50,0.0021947118659395586,0,LR
5,500,1000,1000,50,0.004210702604690021,0,LR
