,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
34,440,2,2,25,14.16445241422387,0,Simple
35,450,2,2,25,17.536461133500374,0,Simple
36,460,2,2,25,18.862465986217845,0,Simple
37,470,2,2,25,45.210421112069284,0,Simple
38,480,2,2,25,0.8126531836080946,0,Simple
39,490,2,2,25,26.866405599183377,0,Simple
40,500,2,2,25,52.705897784598285,0,Simple
41,510,2,2,25,53.48494274721327,0,Simple
42,520,2,2,25,62.61214499063957,0,Simple
43,530,2,2,25,16.316003799499356,0,Simple
44,540,2,2,25,48.343742469301716,0,Simple
45,550,2,2,25,0.3096998587643599,0,Simple
46,560,2,2,25,33.48706687651993,0,Simple
47,570,2,2,25,4.3521887906557035,0,Simple
48,580,2,2,25,5.6379773945581055,0,Simple
49,590,2,2,25,22.286226264914553,0,Simple
50,600,2,2,25,6.368766628681693,0,Simple
51,610,2,2,25,20.215027942673448,0,Simple
52,620,2,2,25,25.19704208008806,0,Simple
53,630,2,2,25,17.233024365384633,0,Simple
54,640,2,2,25,6.8212759311610425,0,Simple
55,650,2,2,25,13.985628387877474,0,Simple
56,660,2,2,25,3.0758562666088256,0,Simple
57,670,2,2,25,30.66887345528322,0,Simple
58,680,2,2,25,11.247207916348529,0,Simple
59,690,2,2,25,1.4439922984995845,0,Simple
60,700,2,2,25,37.758807001804485,0,Simple
61,710,2,2,25,0.030640651201684268,0,Simple
62,720,2,2,25,60.12318154527639,0,Simple
63,730,2,2,25,0.26077462457630496,0,Simple
64,740,2,2,25,4.685796956917216,0,Simple
65,750,2,2,25,5.828760375320573,0,Simple
66,760,2,2,25,0.46885557176082737,0,Simple
67,770,2,2,25,11.94026797253321,0,Simple
68,780,2,2,25,1.0339000554002464,0,Simple
69,790,2,2,25,1.9308140756634944,0,Simple
70,800,2,2,25,15.794090706303324,0,Simple
71,810,2,2,25,0.8574027689335292,0,Simple
72,820,2,2,25,16.152784579154815,0,Simple
73,830,2,2,25,28.94780502041628,0,Simple
74,840,2,2,25,5.658557133694106,0,Simple
75,850,2,2,25,1.0313056491332744,0,Simple
76,860,2,2,25,0.6297083758059107,0,Simple
77,870,2,2,25,0.5565682350758795,0,Simple
78,880,2,2,25,0.13444961145886467,0,Simple
79,890,2,2,25,4.2627322226920334,0,Simple
80,900,2,2,25,0.01317671754939675,0,Simple
81,910,2,2,25,26.417453266496175,0,Simple
82,920,2,2,25,5.656886048449002,0,Simple
83,930,2,2,25,14.463138235155508,0,Simple
84,940,2,2,25,8.19966074121068,0,Simple
85,950,2,2,25,0.013070611512245306,0,Simple
86,960,2,2,25,1.17286439356947,0,Simple
87,970,2,2,25,0.01150511713199155,0,Simple
88,980,2,2,25,0.3753755041411082,0,Simple
89,990,2,2,25,0.04161999014789248,0,Simple
90,1000,2,2,25,1.3794976927106468,0,Simple
0,100,2,2,25,0.002364824047762663,0,Simple
1,110,2,2,25,0.0019857236740642137,0,Simple
2,120,2,2,25,0.004783931344664381,0,Simple
3,130,2,2,25,0.0035372751326097807,0,Simple
4,140,2,2,25,0.0016865992311985588,0,Simple
5,150,2,2,25,0.0023685076549357794,0,Simple
6,160,2,2,25,0.00024816638866455325,0,Simple
7,170,2,2,25,0.0007554954674667718,0,Simple
8,180,2,2,25,0.0004551946100479032,0,Simple
9,190,2,2,25,0.0005381045923391411,0,Simple
10,200,2,2,25,0.0009257506808334102,0,Simple
11,210,2,2,25,0.0007176828294360489,0,Simple
12,220,2,2,25,0.0006384989354361716,0,Simple
13,230,2,2,25,0.001222665859464213,0,Simple
14,240,2,2,25,0.002482833314898466,0,Simple
15,250,2,2,25,0.00024372713156697713,0,Simple
16,260,2,2,25,0.0003909977647321939,0,Simple
17,270,2,2,25,0.000501491671090093,0,Simple
18,280,2,2,25,0.001044890913246827,0,Simple
19,290,2,2,25,0.0018018715265997133,0,Simple
20,300,2,2,25,0.00042633456605871255,0,Simple
21,310,2,2,25,0.0010596721400888032,0,Simple
22,320,2,2,25,0.0011522941892658282,0,Simple
23,330,2,2,25,0.0013393752691240226,0,Simple
24,340,2,2,25,0.000444265698060493,0,Simple
25,350,2,2,25,0.00042025224143410467,0,Simple
26,360,2,2,25,0.001290754294866792,0,Simple
27,370,2,2,25,0.0012155684822720279,0,Simple
28,380,2,2,25,0.0012948999350234566,0,Simple
29,390,2,2,25,0.0005615230698599676,0,Simple
30,400,2,2,25,0.0011584890995734547,0,Simple
31,410,2,2,25,0.001034588610881809,0,Simple
32,420,2,2,25,0.000446798285303973,0,Simple
33,430,2,2,25,0.0013297275671025387,0,Simple
34,440,2,2,25,0.0011261790254903875,0,Simple
35,450,2,2,25,0.0009188363789996124,0,Simple
36,460,2,2,25,0.0031762936114044997,0,Simple
37,470,2,2,25,0.0010345529987563216,0,Simple
38,480,2,2,25,0.0004446100578976622,0,Simple
39,490,2,2,25,0.000976819250025515,0,Simple
40,500,2,2,25,0.0010804226487768536,0,Simple
41,510,2,2,25,0.0009091633754168586,0,Simple
42,520,2,2,25,0.0014949675955707722,0,Simple
43,530,2,2,25,0.001165109623590966,0,Simple
44,540,2,2,25,0.002425662316330756,0,Simple
45,550,2,2,25,0.0011829947239240832,0,Simple
46,560,2,2,25,0.0009963523927524144,0,Simple
47,570,2,2,25,0.0006105471221230513,0,Simple
48,580,2,2,25,0.0006747692048854671,0,Simple
49,590,2,2,25,0.0009248103103784519,0,Simple
50,600,2,2,25,0.0008674632710180774,0,Simple
51,610,2,2,25,0.0009037203533282815,0,Simple
52,620,2,2,25,0.0014579198018364204,0,Simple
53,630,2,2,25,0.0011497569049070762,0,Simple
54,640,2,2,25,0.0013501467315544726,0,Simple
55,650,2,2,25,0.0015478377958156229,0,Simple
56,660,2,2,25,0.0014207634575974448,0,Simple
57,670,2,2,25,0.0013150498444668356,0,Simple
58,680,2,2,25,0.002344252241028055,0,Simple
59,690,2,2,25,0.001107325217254233,0,Simple
60,700,2,2,25,0.0010018442425034344,0,Simple
61,710,2,2,25,0.001213001842728714,0,Simple
62,720,2,2,25,0.0010967629312713867,0,Simple
63,730,2,2,25,0.002262987611345105,0,Simple
64,740,2,2,25,0.0017824072088799736,0,Simple
65,750,2,2,25,0.0018131629782159838,0,Simple
66,760,2,2,25,0.0020695369840606796,0,Simple
67,770,2,2,25,0.0023415756656873,0,Simple
68,780,2,2,25,0.0007354796944469732,0,Simple
69,790,2,2,25,0.0011368002422580284,0,Simple
70,800,2,2,25,0.0008532194127404153,0,Simple
71,810,2,2,25,0.002608777533564524,0,Simple
72,820,2,2,25,0.0006703604819547119,0,Simple
73,830,2,2,25,0.0014848240687866186,0,Simple
74,840,2,2,25,0.0011007958234400235,0,Simple
75,850,2,2,25,0.001301925416640669,0,Simple
76,860,2,2,25,0.0011737550759185853,0,Simple
77,870,2,2,25,0.00237329302616927,0,Simple
78,880,2,2,25,0.0009874089585993327,0,Simple
79,890,2,2,25,0.0012976539891999081,0,Simple
80,900,2,2,25,0.0033892375584514065,0,Simple
81,910,2,2,25,0.0017236875443515096,0,Simple
82,920,2,2,25,0.0018497974593436588,0,Simple
83,930,2,2,25,0.0009012361551811545,0,Simple
84,940,2,2,25,0.0008498515599314469,0,Simple
85,950,2,2,25,0.0010048749537756164,0,Simple
86,960,2,2,25,0.002118734433084228,0,Simple
87,970,2,2,25,0.0009061593384817662,0,Simple
88,980,2,2,25,0.0014896254235645778,0,Simple
89,990,2,2,25,0.0012421499593213987,0,Simple
90,1000,2,2,25,0.0022901868684523223,0,Simple
0,100,2,2,25,0.7622329606423887,0,Simple
1,110,2,2,25,0.4090927659269015,0,Simple
2,120,2,2,25,0.3012353821328777,0,Simple
3,130,2,2,25,0.32620254698716816,0,Simple
4,140,2,2,25,0.10908655559679258,0,Simple
5,150,2,2,25,0.40529075840779605,0,Simple
6,160,2,2,25,0.5710572353768566,0,Simple
7,170,2,2,25,0.0732821317708584,0,Simple
8,180,2,2,25,0.0688677614656667,0,Simple
9,190,2,2,25,0.09371689096592463,0,Simple
10,200,2,2,25,0.05510006166524343,0,Simple
11,210,2,2,25,0.04371879516526579,0,Simple
12,220,2,2,25,0.0005015774355022942,0,Simple
13,230,2,2,25,0.007903061195588361,0,Simple
14,240,2,2,25,0.062234762529315805,0,Simple
15,250,2,2,25,0.07238787289004066,0,Simple
16,260,2,2,25,0.01731758916739093,0,Simple
17,270,2,2,25,0.012013681751972448,0,Simple
18,280,2,2,25,0.006921250818559606,0,Simple
19,290,2,2,25,0.010801923651724776,0,Simple
20,300,2,2,25,0.527261632823292,0,Simple
21,310,2,2,25,0.027048664394186808,0,Simple
22,320,2,2,25,0.046315581566050965,0,Simple
23,330,2,2,25,0.003476505101380858,0,Simple
24,340,2,2,25,0.016422615777333314,0,Simple
25,350,2,2,25,0.020243141203612418,0,Simple
26,360,2,2,25,0.002946628624490316,0,Simple
27,370,2,2,25,0.03785215318777648,0,Simple
28,380,2,2,25,0.004709318081993959,0,Simple
29,390,2,2,25,0.0011693000439125768,0,Simple
30,400,2,2,25,0.03803523932440369,0,Simple
31,410,2,2,25,0.0047157300214568975,0,Simple
32,420,2,2,25,0.001464398945732781,0,Simple
33,430,2,2,25,0.0014700797135668673,0,Simple
34,440,2,2,25,0.00219203512392392,0,Simple
35,450,2,2,25,0.004814323422635692,0,Simple
36,460,2,2,25,0.016489924246983086,0,Simple
37,470,2,2,25,0.005066574459210411,0,Simple
38,480,2,2,25,0.0010897909575128067,0,Simple
39,490,2,2,25,0.0017026513516878432,0,Simple
40,500,2,2,25,0.001905088045460957,0,Simple
41,510,2,2,25,0.0021582688940432215,0,Simple
42,520,2,2,25,0.0027530722264359937,0,Simple
43,530,2,2,25,0.0012821228634692832,0,Simple
44,540,2,2,25,0.0008641670107358801,0,Simple
45,550,2,2,25,0.0012961161797076042,0,Simple
46,560,2,2,25,0.0016825114278502023,0,Simple
47,570,2,2,25,0.002735932227698896,0,Simple
48,580,2,2,25,0.002681207122469088,0,Simple
49,590,2,2,25,0.0017906674062901171,0,Simple
50,600,2,2,25,0.001206205033911195,0,Simple
51,610,2,2,25,0.001792625097493839,0,Simple
52,620,2,2,25,0.0025689344688562088,0,Simple
53,630,2,2,25,0.0011230729323001803,0,Simple
54,640,2,2,25,0.003448023150836824,0,Simple
55,650,2,2,25,0.0009641123031356802,0,Simple
56,660,2,2,25,0.0024911772752187005,0,Simple
57,670,2,2,25,0.0026820236513761843,0,Simple
58,680,2,2,25,0.0009438494208153324,0,Simple
59,690,2,2,25,0.0013818558612723594,0,Simple
60,700,2,2,25,0.0026393129247628626,0,Simple
61,710,2,2,25,0.0014686425160320865,0,Simple
62,720,2,2,25,0.0024618317234701296,0,Simple
63,730,2,2,25,0.002484652254079452,0,Simple
