,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,1,30,30,50,7.468116774441653e+164,0,LR
1,10,30,30,50,3.541135955483472e-05,0,LR
2,100,30,30,50,1.788481343908804e-06,0,LR
3,1000,30,30,50,1.9873812873680466e-06,0,LR
4,10000,30,30,50,1.3822045540467635e-06,0,LR
0,1,30,30,50,3.1611600333662587e+248,0,LR
1,10,30,30,50,0.00023907475709181416,0,LR
2,100,30,30,50,4.285958014952111e-06,0,LR
3,1000,30,30,50,5.138369153099245e-06,0,LR
4,10000,30,30,50,4.273841808314845e-06,0,LR
0,1,30,30,50,5.2087128747681664e+216,0,LR
1,10,30,30,50,0.011005987715603287,0,LR
2,100,30,30,50,2.3409938813802935e-06,0,LR
3,1000,30,30,50,2.2409626815974554e-06,0,LR
4,10000,30,30,50,2.4056641817419798e-06,0,LR
0,1,30,30,50,2.889189514395995e+148,0,LR
1,10,30,30,50,0.0006320164606555344,0,LR
2,100,30,30,50,5.592418842027968e-06,0,LR
3,1000,30,30,50,5.335836376949816e-06,0,LR
4,10000,30,30,50,5.505183265191316e-06,0,LR
0,1,30,30,50,1.8356590231388565e+139,0,LR
1,10,30,30,50,9.526772075549716e-05,0,LR
2,100,30,30,50,4.074646539923469e-08,0,LR
3,1000,30,30,50,3.7823766011880305e-08,0,LR
4,10000,30,30,50,4.464100047114216e-08,0,LR
0,1,30,30,50,2.5901727745912863e+157,0,LR
1,10,30,30,50,0.0008462964775381798,0,LR
2,100,30,30,50,5.673265521030568e-06,0,LR
3,1000,30,30,50,5.124158486872672e-06,0,LR
4,10000,30,30,50,5.705428368280467e-06,0,LR
0,1,30,30,50,3.169500640874737e+215,0,LR
1,10,30,30,50,8.488698430693449e-05,0,LR
2,100,30,30,50,8.169574068235253e-07,0,LR
3,1000,30,30,50,8.011327348940895e-07,0,LR
4,10000,30,30,50,8.249486033776486e-07,0,LR
0,1,30,30,50,8.225125024361552e+189,0,LR
1,10,30,30,50,0.00010945348857486657,0,LR
2,100,30,30,50,4.2882704504573845e-06,0,LR
3,1000,30,30,50,6.181229008448054e-06,0,LR
4,10000,30,30,50,5.48704787604861e-06,0,LR
0,1,30,30,50,7.763506131379973e+155,0,LR
1,10,30,30,50,3.579196195951607e-05,0,LR
2,100,30,30,50,1.072837202117842e-06,0,LR
3,1000,30,30,50,1.0266344452860809e-06,0,LR
4,10000,30,30,50,1.128592957448744e-06,0,LR
0,1,30,30,50,1.669095390250106e+161,0,LR
1,10,30,30,50,5.01499493521537e-06,0,LR
2,100,30,30,50,2.6597250402351923e-08,0,LR
3,1000,30,30,50,2.9286546107577096e-08,0,LR
4,10000,30,30,50,2.623817561532214e-08,0,LR
0,1,30,30,50,1.5208659504086928e+204,0,LR
1,10,30,30,50,8.738727530905632e-05,0,LR
