,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,10,2,2,50,0,1.1459001417611765,0,"DNN (2, True)"
1,0,50,2,2,50,0,0.005575378211517312,0,"DNN (2, True)"
2,0,100,2,2,50,0,0.025471157519485834,0,"DNN (2, True)"
3,0,400,2,2,50,0,0.003910430472690836,0,"DNN (2, True)"
4,0,600,2,2,50,0,0.004650274541287766,0,"DNN (2, True)"
5,0,1000,2,2,50,0,0.006335091066606847,0,"DNN (2, True)"
0,1,10,2,2,50,0,78.39387780817323,0,"DNN (2, True)"
1,1,50,2,2,50,0,1.7881144649485536,0,"DNN (2, True)"
2,1,100,2,2,50,0,0.018212160461075773,0,"DNN (2, True)"
3,1,400,2,2,50,0,0.0028667135019597024,0,"DNN (2, True)"
4,1,600,2,2,50,0,0.0024384831973303127,0,"DNN (2, True)"
5,1,1000,2,2,50,0,0.0026951821090268335,0,"DNN (2, True)"
0,2,10,2,2,50,0,31733.462914399133,0,"DNN (2, True)"
1,2,50,2,2,50,0,32572.377469334857,0,"DNN (2, True)"
2,2,100,2,2,50,0,30732.830438259185,0,"DNN (2, True)"
3,2,400,2,2,50,0,24843.487935830766,0,"DNN (2, True)"
4,2,600,2,2,50,0,4801831184.951377,0,"DNN (2, True)"
5,2,1000,2,2,50,0,470.98043626512697,0,"DNN (2, True)"
0,3,10,2,2,50,0,0.29856192515987456,0,"DNN (2, True)"
1,3,50,2,2,50,0,0.017294251299383605,0,"DNN (2, True)"
2,3,100,2,2,50,0,0.006339173296525854,0,"DNN (2, True)"
3,3,400,2,2,50,0,0.0027948133387294925,0,"DNN (2, True)"
4,3,600,2,2,50,0,0.005056373723297529,0,"DNN (2, True)"
5,3,1000,2,2,50,0,0.003850883022774089,0,"DNN (2, True)"
