,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,10,50,50,50,0,253600.8083001515,0,"DNN (50, False)"
1,0,50,50,50,50,0,238670.34251716855,0,"DNN (50, False)"
2,0,100,50,50,50,0,229280.76229507272,0,"DNN (50, False)"
3,0,400,50,50,50,0,236556.9895983116,0,"DNN (50, False)"
4,0,600,50,50,50,0,198174.1372510747,0,"DNN (50, False)"
5,0,1000,50,50,50,0,242361.83691400674,0,"DNN (50, False)"
0,1,10,50,50,50,0,457.51819329647327,0,"DNN (50, False)"
1,1,50,50,50,50,0,314.2623551586791,0,"DNN (50, False)"
2,1,100,50,50,50,0,433.6035849139291,0,"DNN (50, False)"
3,1,400,50,50,50,0,519.4997064897384,0,"DNN (50, False)"
4,1,600,50,50,50,0,493.1922795383831,0,"DNN (50, False)"
5,1,1000,50,50,50,0,687.5591098339632,0,"DNN (50, False)"
0,2,10,50,50,50,0,58319.05633545466,0,"DNN (50, False)"
1,2,50,50,50,50,0,48049.43085305533,0,"DNN (50, False)"
2,2,100,50,50,50,0,54526.0441107215,0,"DNN (50, False)"
3,2,400,50,50,50,0,58989.127325922396,0,"DNN (50, False)"
4,2,600,50,50,50,0,65256.59451704721,0,"DNN (50, False)"
5,2,1000,50,50,50,0,76896.40877290837,0,"DNN (50, False)"
0,3,10,50,50,50,0,8503.214178793893,0,"DNN (50, False)"
1,3,50,50,50,50,0,7742.885134529148,0,"DNN (50, False)"
2,3,100,50,50,50,0,4514599715.877471,0,"DNN (50, False)"
3,3,400,50,50,50,0,8488.174086220228,0,"DNN (50, False)"
4,3,600,50,50,50,0,9663.165103315336,0,"DNN (50, False)"
5,3,1000,50,50,50,0,7865.131625257615,0,"DNN (50, False)"
