,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0,10,2,2,50,0,61.41416528276438,0,"DNN (2, False)"
1,0,50,2,2,50,0,1.3006253731389752,0,"DNN (2, False)"
2,0,100,2,2,50,0,0.010328611159489935,0,"DNN (2, False)"
3,0,400,2,2,50,0,0.0168125660609339,0,"DNN (2, False)"
4,0,600,2,2,50,0,0.028621060367903937,0,"DNN (2, False)"
5,0,1000,2,2,50,0,0.030276300881273265,0,"DNN (2, False)"
0,1,10,2,2,50,0,0.40173811113532587,0,"DNN (2, False)"
1,1,50,2,2,50,0,0.05443430226954824,0,"DNN (2, False)"
2,1,100,2,2,50,0,0.007783164150937782,0,"DNN (2, False)"
3,1,400,2,2,50,0,0.008912730979765613,0,"DNN (2, False)"
4,1,600,2,2,50,0,0.008775505649131066,0,"DNN (2, False)"
5,1,1000,2,2,50,0,0.019447887792719002,0,"DNN (2, False)"
0,2,10,2,2,50,0,3.416775202257516,0,"DNN (2, False)"
1,2,50,2,2,50,0,0.01672017498806942,0,"DNN (2, False)"
2,2,100,2,2,50,0,0.017275632088590308,0,"DNN (2, False)"
3,2,400,2,2,50,0,0.021939037399782448,0,"DNN (2, False)"
4,2,600,2,2,50,0,0.02737898381355622,0,"DNN (2, False)"
5,2,1000,2,2,50,0,0.046755969317568376,0,"DNN (2, False)"
0,3,10,2,2,50,0,270.2753605420366,0,"DNN (2, False)"
1,3,50,2,2,50,0,0.7886586107103071,0,"DNN (2, False)"
2,3,100,2,2,50,0,110.62727461151148,0,"DNN (2, False)"
3,3,400,2,2,50,0,0.2526445032500883,0,"DNN (2, False)"
4,3,600,2,2,50,0,0.05407432216434347,0,"DNN (2, False)"
5,3,1000,2,2,50,0,0.06493044142913139,0,"DNN (2, False)"
