,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0.0,0.0,0,1,10,10,50,34.856456123118484,0,"LR (10, True)"
1,1.0,1.0,0,10,10,10,50,4.670227722983954e-07,0,"LR (10, True)"
2,2.0,2.0,0,100,10,10,50,2.251667478654781e-07,0,"LR (10, True)"
3,3.0,3.0,0,1000,10,10,50,2.0577936988012819e-07,0,"LR (10, True)"
4,4.0,0.0,1,1,10,10,50,53.64415835260596,0,"LR (10, True)"
5,5.0,1.0,1,10,10,10,50,1.0305387692295586e-07,0,"LR (10, True)"
6,6.0,2.0,1,100,10,10,50,1.993508653561152e-08,0,"LR (10, True)"
7,7.0,3.0,1,1000,10,10,50,1.7273497666316332e-08,0,"LR (10, True)"
8,8.0,0.0,2,1,10,10,50,1955.929774512856,0,"LR (10, True)"
9,9.0,1.0,2,10,10,10,50,5.300600358075495e-06,0,"LR (10, True)"
10,10.0,2.0,2,100,10,10,50,6.678526154676565e-06,0,"LR (10, True)"
11,11.0,3.0,2,1000,10,10,50,4.582759060396143e-06,0,"LR (10, True)"
12,12.0,0.0,3,1,10,10,50,168.63489400865086,0,"LR (10, True)"
13,13.0,1.0,3,10,10,10,50,1.987237497861218e-06,0,"LR (10, True)"
14,14.0,2.0,3,100,10,10,50,1.0596813234590289e-07,0,"LR (10, True)"
15,15.0,3.0,3,1000,10,10,50,8.71404982966337e-08,0,"LR (10, True)"
16,16.0,0.0,4,1,10,10,50,8.4970122676895,0,"LR (10, True)"
17,17.0,1.0,4,10,10,10,50,5.050407618001662e-07,0,"LR (10, True)"
18,18.0,2.0,4,100,10,10,50,5.8971676990649974e-08,0,"LR (10, True)"
19,19.0,3.0,4,1000,10,10,50,3.626357003632768e-08,0,"LR (10, True)"
20,20.0,0.0,5,1,10,10,50,113.48001904784,0,"LR (10, True)"
21,21.0,1.0,5,10,10,10,50,1.0559018818752051e-06,0,"LR (10, True)"
22,22.0,2.0,5,100,10,10,50,5.259852556261186e-07,0,"LR (10, True)"
23,23.0,3.0,5,1000,10,10,50,6.139917669710501e-07,0,"LR (10, True)"
24,24.0,0.0,6,1,10,10,50,19.631656838265062,0,"LR (10, True)"
25,25.0,1.0,6,10,10,10,50,5.768835361366825e-07,0,"LR (10, True)"
26,26.0,2.0,6,100,10,10,50,2.1932524236873225e-07,0,"LR (10, True)"
27,27.0,3.0,6,1000,10,10,50,2.232470037816196e-07,0,"LR (10, True)"
28,28.0,0.0,7,1,10,10,50,6.972815631925063,0,"LR (10, True)"
29,29.0,1.0,7,10,10,10,50,3.2036606296564926e-06,0,"LR (10, True)"
30,30.0,2.0,7,100,10,10,50,7.518443202532648e-08,0,"LR (10, True)"
31,31.0,3.0,7,1000,10,10,50,3.0898379567016026e-08,0,"LR (10, True)"
32,32.0,0.0,8,1,10,10,50,7100.80492317216,0,"LR (10, True)"
33,33.0,1.0,8,10,10,10,50,3.154473541299699e-05,0,"LR (10, True)"
34,34.0,2.0,8,100,10,10,50,1.164820345414652e-05,0,"LR (10, True)"
35,35.0,3.0,8,1000,10,10,50,9.19261446530976e-06,0,"LR (10, True)"
36,36.0,0.0,9,1,10,10,50,6880.761917684205,0,"LR (10, True)"
37,37.0,1.0,9,10,10,10,50,1.1136129007151227e-05,0,"LR (10, True)"
38,38.0,2.0,9,100,10,10,50,3.501441068661935e-06,0,"LR (10, True)"
39,39.0,3.0,9,1000,10,10,50,3.84938724881302e-06,0,"LR (10, True)"
40,40.0,0.0,10,1,10,10,50,153.0050629408226,0,"LR (10, True)"
41,41.0,1.0,10,10,10,10,50,2.329660437073236e-06,0,"LR (10, True)"
42,42.0,2.0,10,100,10,10,50,2.3065242645814882e-07,0,"LR (10, True)"
43,43.0,3.0,10,1000,10,10,50,2.658248497246833e-07,0,"LR (10, True)"
44,44.0,0.0,11,1,10,10,50,11.77401499712774,0,"LR (10, True)"
45,45.0,1.0,11,10,10,10,50,4.0991630273564434e-07,0,"LR (10, True)"
46,46.0,2.0,11,100,10,10,50,1.905509073383075e-07,0,"LR (10, True)"
47,47.0,3.0,11,1000,10,10,50,1.6717728036185893e-07,0,"LR (10, True)"
48,48.0,0.0,12,1,10,10,50,44.0173702773751,0,"LR (10, True)"
49,49.0,1.0,12,10,10,10,50,5.667135325536057e-07,0,"LR (10, True)"
50,50.0,2.0,12,100,10,10,50,2.695884796931189e-07,0,"LR (10, True)"
51,51.0,3.0,12,1000,10,10,50,2.571982881500959e-07,0,"LR (10, True)"
52,52.0,0.0,13,1,10,10,50,16370.94357688196,0,"LR (10, True)"
53,53.0,1.0,13,10,10,10,50,4.212236651665991e-06,0,"LR (10, True)"
54,54.0,2.0,13,100,10,10,50,3.9432973002436405e-06,0,"LR (10, True)"
55,55.0,3.0,13,1000,10,10,50,3.741613653382327e-06,0,"LR (10, True)"
56,56.0,0.0,14,1,10,10,50,12.801744722900722,0,"LR (10, True)"
57,57.0,1.0,14,10,10,10,50,7.865972934960787e-07,0,"LR (10, True)"
58,58.0,2.0,14,100,10,10,50,4.726735094263125e-08,0,"LR (10, True)"
59,59.0,3.0,14,1000,10,10,50,3.546336723136935e-08,0,"LR (10, True)"
60,60.0,0.0,15,1,10,10,50,313.95075475129937,0,"LR (10, True)"
61,61.0,1.0,15,10,10,10,50,3.086252509313914e-06,0,"LR (10, True)"
62,62.0,2.0,15,100,10,10,50,7.60310227392038e-07,0,"LR (10, True)"
63,63.0,3.0,15,1000,10,10,50,8.1153429936765e-07,0,"LR (10, True)"
64,64.0,0.0,16,1,10,10,50,40.56976124697964,0,"LR (10, True)"
65,65.0,1.0,16,10,10,10,50,1.2171778642824151e-06,0,"LR (10, True)"
66,66.0,2.0,16,100,10,10,50,1.6783531983820714e-07,0,"LR (10, True)"
67,67.0,3.0,16,1000,10,10,50,1.4817442185763034e-07,0,"LR (10, True)"
68,68.0,0.0,17,1,10,10,50,345.0577663077059,0,"LR (10, True)"
69,69.0,1.0,17,10,10,10,50,1.248926312384825e-06,0,"LR (10, True)"
70,70.0,2.0,17,100,10,10,50,3.589240975843091e-07,0,"LR (10, True)"
71,71.0,3.0,17,1000,10,10,50,3.207883182700407e-07,0,"LR (10, True)"
