,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0.0,0,1,100,100,50,4.913884930881136e+142,0,"LR (100, False)"
1,1.0,0,10,100,100,50,799.5904974245409,0,"LR (100, False)"
2,2.0,0,100,100,100,50,1.6797549521126493e-06,0,"LR (100, False)"
3,3.0,0,1000,100,100,50,1.427753277691546e-06,0,"LR (100, False)"
4,0.0,1,1,100,100,50,7.923821069740209e+89,0,"LR (100, False)"
5,1.0,1,10,100,100,50,490.8273419570144,0,"LR (100, False)"
6,2.0,1,100,100,100,50,1.105515505385156e-05,0,"LR (100, False)"
7,3.0,1,1000,100,100,50,3.6144528758575007e-06,0,"LR (100, False)"
8,0.0,2,1,100,100,50,,0,"LR (100, False)"
9,1.0,2,10,100,100,50,57.06287706521068,0,"LR (100, False)"
10,2.0,2,100,100,100,50,4.816559993428225e-07,0,"LR (100, False)"
11,3.0,2,1000,100,100,50,1.1255856376294736e-07,0,"LR (100, False)"
12,0.0,3,1,100,100,50,5.581385649621757e+130,0,"LR (100, False)"
13,1.0,3,10,100,100,50,19.52820265484308,0,"LR (100, False)"
14,2.0,3,100,100,100,50,1.7201231423704028e-07,0,"LR (100, False)"
15,3.0,3,1000,100,100,50,2.882201900165097e-08,0,"LR (100, False)"
16,0.0,4,1,100,100,50,6.938560484130805e+30,0,"LR (100, False)"
17,1.0,4,10,100,100,50,85226.39477616135,0,"LR (100, False)"
18,2.0,4,100,100,100,50,2.0948439592109e-05,0,"LR (100, False)"
19,3.0,4,1000,100,100,50,1.00572919117548e-05,0,"LR (100, False)"
20,0.0,5,1,100,100,50,1.6381661072470594e+88,0,"LR (100, False)"
21,1.0,5,10,100,100,50,333.63859992372073,0,"LR (100, False)"
22,2.0,5,100,100,100,50,1.6745727889299469e-06,0,"LR (100, False)"
23,3.0,5,1000,100,100,50,1.923539678937881e-07,0,"LR (100, False)"
24,0.0,6,1,100,100,50,inf,0,"LR (100, False)"
25,1.0,6,10,100,100,50,651.9535493284504,0,"LR (100, False)"
26,2.0,6,100,100,100,50,1.5017950337643446e-06,0,"LR (100, False)"
27,3.0,6,1000,100,100,50,7.262824102448932e-07,0,"LR (100, False)"
28,0.0,7,1,100,100,50,inf,0,"LR (100, False)"
29,1.0,7,10,100,100,50,1259.4260629869102,0,"LR (100, False)"
30,2.0,7,100,100,100,50,2.4759384524673843e-06,0,"LR (100, False)"
31,3.0,7,1000,100,100,50,1.1184852924570511e-06,0,"LR (100, False)"
32,0.0,8,1,100,100,50,4446415784464537.0,0,"LR (100, False)"
33,1.0,8,10,100,100,50,288.9166999213457,0,"LR (100, False)"
34,2.0,8,100,100,100,50,5.368987788479587e-07,0,"LR (100, False)"
35,3.0,8,1000,100,100,50,9.364223802001585e-08,0,"LR (100, False)"
36,0.0,9,1,100,100,50,2.9389703738982017e+125,0,"LR (100, False)"
37,1.0,9,10,100,100,50,2677.191425940303,0,"LR (100, False)"
38,2.0,9,100,100,100,50,1.282137549018361e-05,0,"LR (100, False)"
39,3.0,9,1000,100,100,50,1.839090053225706e-06,0,"LR (100, False)"
40,0.0,10,1,100,100,50,3.765444492148089e+282,0,"LR (100, False)"
41,1.0,10,10,100,100,50,1469.9887883604245,0,"LR (100, False)"
42,2.0,10,100,100,100,50,8.516486598482924e-06,0,"LR (100, False)"
43,3.0,10,1000,100,100,50,1.369008998998941e-06,0,"LR (100, False)"
44,0.0,11,1,100,100,50,1.0699476785784497e+96,0,"LR (100, False)"
45,1.0,11,10,100,100,50,273.8882570673766,0,"LR (100, False)"
46,2.0,11,100,100,100,50,1.2528475895888756e-06,0,"LR (100, False)"
47,3.0,11,1000,100,100,50,7.672585580687456e-07,0,"LR (100, False)"
48,0.0,12,1,100,100,50,1.2011325432896809e+41,0,"LR (100, False)"
49,1.0,12,10,100,100,50,943.7977083253857,0,"LR (100, False)"
50,2.0,12,100,100,100,50,1.1689297026846414e-06,0,"LR (100, False)"
51,3.0,12,1000,100,100,50,4.785849411347075e-07,0,"LR (100, False)"
52,0.0,13,1,100,100,50,2.5161452010765643e+86,0,"LR (100, False)"
53,1.0,13,10,100,100,50,74.61472788708167,0,"LR (100, False)"
54,2.0,13,100,100,100,50,6.691803683797678e-07,0,"LR (100, False)"
55,3.0,13,1000,100,100,50,1.818665610264721e-07,0,"LR (100, False)"
56,0.0,14,1,100,100,50,5.5391250958653454e+73,0,"LR (100, False)"
57,1.0,14,10,100,100,50,92.47817391724956,0,"LR (100, False)"
58,2.0,14,100,100,100,50,7.630793004217526e-07,0,"LR (100, False)"
59,3.0,14,1000,100,100,50,3.744639352580648e-07,0,"LR (100, False)"
60,0.0,15,1,100,100,50,1.9919788268713201e+111,0,"LR (100, False)"
61,1.0,15,10,100,100,50,327.3527590242249,0,"LR (100, False)"
62,2.0,15,100,100,100,50,1.4887863743611371e-06,0,"LR (100, False)"
63,3.0,15,1000,100,100,50,3.9752645752871e-07,0,"LR (100, False)"
64,0.0,16,1,100,100,50,1.3587724022263646e+85,0,"LR (100, False)"
65,1.0,16,10,100,100,50,15616.454324834274,0,"LR (100, False)"
66,2.0,16,100,100,100,50,9.745206026039593e-06,0,"LR (100, False)"
67,3.0,16,1000,100,100,50,9.602657330444234e-06,0,"LR (100, False)"
68,0.0,17,1,100,100,50,3.7058119591414095e+69,0,"LR (100, False)"
69,1.0,17,10,100,100,50,12.452280081714823,0,"LR (100, False)"
70,2.0,17,100,100,100,50,2.837603511014658e-07,0,"LR (100, False)"
71,3.0,17,1000,100,100,50,2.15628692143012e-08,0,"LR (100, False)"
72,0.0,18,1,100,100,50,2.68253899241648e+131,0,"LR (100, False)"
73,1.0,18,10,100,100,50,35.83006024376044,0,"LR (100, False)"
74,2.0,18,100,100,100,50,1.1457243834398298e-06,0,"LR (100, False)"
75,3.0,18,1000,100,100,50,9.162635685667816e-08,0,"LR (100, False)"
76,0.0,19,1,100,100,50,1.6974862421738255e+81,0,"LR (100, False)"
77,1.0,19,10,100,100,50,176.8981904477063,0,"LR (100, False)"
78,2.0,19,100,100,100,50,6.863896045660862e-07,0,"LR (100, False)"
79,3.0,19,1000,100,100,50,5.418271027447635e-07,0,"LR (100, False)"
80,0.0,20,1,100,100,50,1.4166420827543796e+72,0,"LR (100, False)"
81,1.0,20,10,100,100,50,939.2340187462746,0,"LR (100, False)"
82,2.0,20,100,100,100,50,1.3618710779320608e-05,0,"LR (100, False)"
83,3.0,20,1000,100,100,50,2.8382012939554253e-06,0,"LR (100, False)"
84,0.0,21,1,100,100,50,3.2334909576315825e+123,0,"LR (100, False)"
85,1.0,21,10,100,100,50,720.4782327912834,0,"LR (100, False)"
86,2.0,21,100,100,100,50,2.4105394352503677e-06,0,"LR (100, False)"
87,3.0,21,1000,100,100,50,9.119224191449276e-07,0,"LR (100, False)"
88,0.0,22,1,100,100,50,9.199259953076994e+133,0,"LR (100, False)"
89,1.0,22,10,100,100,50,933.7119106131828,0,"LR (100, False)"
90,2.0,22,100,100,100,50,2.519887329678662e-06,0,"LR (100, False)"
91,3.0,22,1000,100,100,50,1.0090606751389909e-06,0,"LR (100, False)"
92,0.0,23,1,100,100,50,9.378763985528648e+80,0,"LR (100, False)"
93,1.0,23,10,100,100,50,7397.321090203515,0,"LR (100, False)"
94,2.0,23,100,100,100,50,1.128670308508612e-05,0,"LR (100, False)"
95,3.0,23,1000,100,100,50,8.692456119512917e-06,0,"LR (100, False)"
96,0.0,24,1,100,100,50,3.8639774929351717e+61,0,"LR (100, False)"
97,1.0,24,10,100,100,50,1478.875905751895,0,"LR (100, False)"
98,2.0,24,100,100,100,50,3.66308342122362e-06,0,"LR (100, False)"
99,3.0,24,1000,100,100,50,2.31406137500744e-06,0,"LR (100, False)"
100,0.0,25,1,100,100,50,3.0447849970441487e+55,0,"LR (100, False)"
101,1.0,25,10,100,100,50,4016.548559290685,0,"LR (100, False)"
102,2.0,25,100,100,100,50,4.429164299376583e-06,0,"LR (100, False)"
103,3.0,25,1000,100,100,50,3.0224393509735067e-06,0,"LR (100, False)"
104,0.0,26,1,100,100,50,9.69114846687526e+168,0,"LR (100, False)"
105,1.0,26,10,100,100,50,129.1692354668271,0,"LR (100, False)"
106,2.0,26,100,100,100,50,3.551211259747526e-07,0,"LR (100, False)"
107,3.0,26,1000,100,100,50,2.085089856568045e-07,0,"LR (100, False)"
108,0.0,27,1,100,100,50,1.0026088974950258e+201,0,"LR (100, False)"
109,1.0,27,10,100,100,50,407.4332053565379,0,"LR (100, False)"
110,2.0,27,100,100,100,50,2.512472250600626e-06,0,"LR (100, False)"
111,3.0,27,1000,100,100,50,9.527429272885008e-07,0,"LR (100, False)"
112,0.0,28,1,100,100,50,9.546864657107785e+99,0,"LR (100, False)"
113,1.0,28,10,100,100,50,6829.118537522095,0,"LR (100, False)"
114,2.0,28,100,100,100,50,2.1755192555477e-06,0,"LR (100, False)"
115,3.0,28,1000,100,100,50,1.4268107161791426e-06,0,"LR (100, False)"
116,0.0,29,1,100,100,50,1.1698361812509876e+19,0,"LR (100, False)"
117,1.0,29,10,100,100,50,14182.916581528429,0,"LR (100, False)"
118,2.0,29,100,100,100,50,2.552010320584497e-05,0,"LR (100, False)"
119,3.0,29,1000,100,100,50,2.270558250538139e-05,0,"LR (100, False)"
0,,0,50,100,100,50,1.0726564517706437e-05,0,"LR (100, False)"
1,,0,500,100,100,50,2.863711542904385e-06,0,"LR (100, False)"
0,,1,50,100,100,50,4.856082515742555e-06,0,"LR (100, False)"
1,,1,500,100,100,50,3.040284340128153e-07,0,"LR (100, False)"
0,,2,50,100,100,50,0.004191278126176991,0,"LR (100, False)"
1,,2,500,100,100,50,0.0009560896855719335,0,"LR (100, False)"
0,,3,50,100,100,50,0.00010577086013557618,0,"LR (100, False)"
1,,3,500,100,100,50,1.3846028824008555e-05,0,"LR (100, False)"
0,,4,50,100,100,50,1.4319961763043145e-06,0,"LR (100, False)"
1,,4,500,100,100,50,6.967914625413748e-08,0,"LR (100, False)"
0,,5,50,100,100,50,0.0003679929519203689,0,"LR (100, False)"
1,,5,500,100,100,50,3.208095254261993e-05,0,"LR (100, False)"
0,,6,50,100,100,50,1.983875838299345e-06,0,"LR (100, False)"
1,,6,500,100,100,50,3.506036278004548e-08,0,"LR (100, False)"
0,,7,50,100,100,50,6.887523186575686e-07,0,"LR (100, False)"
1,,7,500,100,100,50,2.934712628542549e-07,0,"LR (100, False)"
0,,8,50,100,100,50,3.6995240882392394e-06,0,"LR (100, False)"
1,,8,500,100,100,50,4.85277580268624e-07,0,"LR (100, False)"
0,,9,50,100,100,50,0.0009966996378254803,0,"LR (100, False)"
