,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
70,0.0,14,10,30,30,50,0.0012522619424081,0,"LR (30, True)"
71,1.0,14,50,30,30,50,3.232618542475785e-07,0,"LR (30, True)"
72,2.0,14,100,30,30,50,1.2263849664254918e-07,0,"LR (30, True)"
73,3.0,14,500,30,30,50,1.8020474195449684e-08,0,"LR (30, True)"
74,4.0,14,1000,30,30,50,1.678442226331451e-08,0,"LR (30, True)"
75,0.0,15,10,30,30,50,0.0003766919420631,0,"LR (30, True)"
76,1.0,15,50,30,30,50,9.82539910057324e-06,0,"LR (30, True)"
77,2.0,15,100,30,30,50,3.699543531559499e-06,0,"LR (30, True)"
78,3.0,15,500,30,30,50,2.9058242171597405e-06,0,"LR (30, True)"
79,4.0,15,1000,30,30,50,3.2345847379919437e-06,0,"LR (30, True)"
80,0.0,16,10,30,30,50,0.4746974075712904,0,"LR (30, True)"
81,1.0,16,50,30,30,50,4.894373345289042e-05,0,"LR (30, True)"
82,2.0,16,100,30,30,50,3.7415667714399424e-05,0,"LR (30, True)"
83,3.0,16,500,30,30,50,8.433155972531888e-06,0,"LR (30, True)"
84,4.0,16,1000,30,30,50,1.4223653074322192e-05,0,"LR (30, True)"
85,0.0,17,10,30,30,50,0.0004539531569908,0,"LR (30, True)"
86,1.0,17,50,30,30,50,1.732877769419203e-07,0,"LR (30, True)"
87,2.0,17,100,30,30,50,6.56013605357478e-08,0,"LR (30, True)"
88,3.0,17,500,30,30,50,4.6182210535133774e-08,0,"LR (30, True)"
89,4.0,17,1000,30,30,50,4.0810354308755904e-08,0,"LR (30, True)"
90,0.0,18,10,30,30,50,0.0019176151476848,0,"LR (30, True)"
91,1.0,18,50,30,30,50,1.7775127691147866e-07,0,"LR (30, True)"
92,2.0,18,100,30,30,50,1.4554987889690321e-07,0,"LR (30, True)"
93,3.0,18,500,30,30,50,1.0257761442158821e-07,0,"LR (30, True)"
94,4.0,18,1000,30,30,50,9.494008349063961e-08,0,"LR (30, True)"
95,0.0,19,10,30,30,50,0.0011766644063306,0,"LR (30, True)"
96,1.0,19,50,30,30,50,8.500443626274219e-07,0,"LR (30, True)"
97,2.0,19,100,30,30,50,6.188135005999314e-07,0,"LR (30, True)"
98,3.0,19,500,30,30,50,6.348431377794044e-08,0,"LR (30, True)"
99,4.0,19,1000,30,30,50,4.6029711403742086e-08,0,"LR (30, True)"
100,0.0,20,10,30,30,50,0.0001539174495392,0,"LR (30, True)"
101,1.0,20,50,30,30,50,2.1476656508981013e-07,0,"LR (30, True)"
102,2.0,20,100,30,30,50,1.577000844975908e-07,0,"LR (30, True)"
103,3.0,20,500,30,30,50,1.112390659236656e-07,0,"LR (30, True)"
104,4.0,20,1000,30,30,50,9.889493813280865e-08,0,"LR (30, True)"
105,0.0,21,10,30,30,50,0.0083659337539321,0,"LR (30, True)"
106,1.0,21,50,30,30,50,0.0004870917976745,0,"LR (30, True)"
107,2.0,21,100,30,30,50,0.0005091071971222,0,"LR (30, True)"
108,3.0,21,500,30,30,50,0.0004094563217471,0,"LR (30, True)"
109,4.0,21,1000,30,30,50,0.0003936961689348,0,"LR (30, True)"
110,0.0,22,10,30,30,50,0.0501704950894363,0,"LR (30, True)"
111,1.0,22,50,30,30,50,3.765522978612698e-06,0,"LR (30, True)"
112,2.0,22,100,30,30,50,9.48741397339432e-07,0,"LR (30, True)"
113,3.0,22,500,30,30,50,9.58956784051606e-07,0,"LR (30, True)"
