,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0.0,0,1,10,10,50,12269.852787272906,0,"LR (10, False)"
1,1.0,0,10,10,10,50,2.849008664667292e-05,0,"LR (10, False)"
2,2.0,0,100,10,10,50,6.714539662370389e-06,0,"LR (10, False)"
3,3.0,0,1000,10,10,50,7.82373074108971e-06,0,"LR (10, False)"
4,0.0,1,1,10,10,50,112.15390136422135,0,"LR (10, False)"
5,1.0,1,10,10,10,50,1.3838603358095126e-06,0,"LR (10, False)"
6,2.0,1,100,10,10,50,3.59635187499541e-07,0,"LR (10, False)"
7,3.0,1,1000,10,10,50,2.510438844502025e-07,0,"LR (10, False)"
8,0.0,2,1,10,10,50,1135.1450767048127,0,"LR (10, False)"
9,1.0,2,10,10,10,50,2.288456274743724e-06,0,"LR (10, False)"
10,2.0,2,100,10,10,50,2.026292687827841e-06,0,"LR (10, False)"
11,3.0,2,1000,10,10,50,1.9060824936562536e-06,0,"LR (10, False)"
12,0.0,3,1,10,10,50,49.68335217571804,0,"LR (10, False)"
13,1.0,3,10,10,10,50,8.151845226074458e-07,0,"LR (10, False)"
14,2.0,3,100,10,10,50,3.065674161648767e-07,0,"LR (10, False)"
15,3.0,3,1000,10,10,50,2.639755194092748e-07,0,"LR (10, False)"
16,0.0,4,1,10,10,50,23292.233621698677,0,"LR (10, False)"
17,1.0,4,10,10,10,50,0.0001921408499651,0,"LR (10, False)"
18,2.0,4,100,10,10,50,0.0001781232854648,0,"LR (10, False)"
19,3.0,4,1000,10,10,50,0.0001921784759716,0,"LR (10, False)"
20,0.0,5,1,10,10,50,53588.05644073419,0,"LR (10, False)"
21,1.0,5,10,10,10,50,4.992832529857715e-05,0,"LR (10, False)"
22,2.0,5,100,10,10,50,2.034846061924684e-05,0,"LR (10, False)"
23,3.0,5,1000,10,10,50,1.1492044250757922e-05,0,"LR (10, False)"
24,0.0,6,1,10,10,50,844.0678338887146,0,"LR (10, False)"
25,1.0,6,10,10,10,50,2.234971544237341e-05,0,"LR (10, False)"
26,2.0,6,100,10,10,50,2.1915449754472693e-06,0,"LR (10, False)"
27,3.0,6,1000,10,10,50,2.444702276479496e-07,0,"LR (10, False)"
28,0.0,7,1,10,10,50,29.39768247210688,0,"LR (10, False)"
29,1.0,7,10,10,10,50,2.78572388483446e-07,0,"LR (10, False)"
30,2.0,7,100,10,10,50,5.326614885307768e-08,0,"LR (10, False)"
31,3.0,7,1000,10,10,50,3.633034886952719e-08,0,"LR (10, False)"
32,0.0,8,1,10,10,50,12.767833867499135,0,"LR (10, False)"
33,1.0,8,10,10,10,50,2.085079084759511e-07,0,"LR (10, False)"
34,2.0,8,100,10,10,50,7.360230663440659e-08,0,"LR (10, False)"
35,3.0,8,1000,10,10,50,5.77680886930253e-08,0,"LR (10, False)"
36,0.0,9,1,10,10,50,316.37571797873056,0,"LR (10, False)"
37,1.0,9,10,10,10,50,4.945499696218293e-07,0,"LR (10, False)"
38,2.0,9,100,10,10,50,1.8686693831136949e-07,0,"LR (10, False)"
39,3.0,9,1000,10,10,50,1.4039304346136225e-07,0,"LR (10, False)"
40,0.0,10,1,10,10,50,12.82213570054895,0,"LR (10, False)"
41,1.0,10,10,10,10,50,2.916409860031936e-07,0,"LR (10, False)"
42,2.0,10,100,10,10,50,1.050585464952205e-07,0,"LR (10, False)"
43,3.0,10,1000,10,10,50,1.1130352774562707e-07,0,"LR (10, False)"
44,0.0,11,1,10,10,50,464963.2102719959,0,"LR (10, False)"
45,1.0,11,10,10,10,50,2.068023646931813e-06,0,"LR (10, False)"
46,2.0,11,100,10,10,50,1.3701549332479838e-06,0,"LR (10, False)"
47,3.0,11,1000,10,10,50,1.1506429711510505e-06,0,"LR (10, False)"
48,0.0,12,1,10,10,50,299170709.4051467,0,"LR (10, False)"
49,1.0,12,10,10,10,50,0.0033624680244654,0,"LR (10, False)"
50,2.0,12,100,10,10,50,0.0028876341580154,0,"LR (10, False)"
51,3.0,12,1000,10,10,50,0.0028538662165597,0,"LR (10, False)"
