,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
2,24,1000,1000,1000,50,2.2279819331811106e-06,0,"LR (1000, False)"
0,25,10,1000,1000,50,8.258536652997154e+239,0,"LR (1000, False)"
1,25,100,1000,1000,50,110.42446008011834,0,"LR (1000, False)"
2,25,1000,1000,1000,50,1.1328400506404105e-06,0,"LR (1000, False)"
0,26,10,1000,1000,50,2.4753864246279334e+201,0,"LR (1000, False)"
1,26,100,1000,1000,50,2349.9879004766094,0,"LR (1000, False)"
2,26,1000,1000,1000,50,7.70244195408626e-06,0,"LR (1000, False)"
0,27,10,1000,1000,50,3.870877341257482e+99,0,"LR (1000, False)"
1,27,100,1000,1000,50,605.4085017678999,0,"LR (1000, False)"
2,27,1000,1000,1000,50,1.2698378520913751e-06,0,"LR (1000, False)"
0,28,10,1000,1000,50,1.0346983078344729e+52,0,"LR (1000, False)"
1,28,100,1000,1000,50,5661.260104387302,0,"LR (1000, False)"
2,28,1000,1000,1000,50,1.5389485580642588e-05,0,"LR (1000, False)"
0,29,10,1000,1000,50,1.6973480124515413e+68,0,"LR (1000, False)"
1,29,100,1000,1000,50,526447.1182499373,0,"LR (1000, False)"
2,29,1000,1000,1000,50,0.0005107070781559186,0,"LR (1000, False)"
