,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,30,30,50,388.9147764480493,0,Simple
1,0,10,30,30,50,387.771916759599,0,Simple
2,0,100,30,30,50,377.54274977562704,0,Simple
3,0,1000,30,30,50,689.1651549427381,0,Simple
4,0,10000,30,30,50,5229.218889355182,0,Simple
0,1,1,30,30,50,66.65733654682997,0,Simple
1,1,10,30,30,50,68.71858268030125,0,Simple
2,1,100,30,30,50,343.8050165924527,0,Simple
3,1,1000,30,30,50,90.03689184488809,0,Simple
4,1,10000,30,30,50,78.14312231448606,0,Simple
0,2,1,30,30,50,1544.755688412144,0,Simple
1,2,10,30,30,50,1625.623054239784,0,Simple
2,2,100,30,30,50,1604.1822087449343,0,Simple
3,2,1000,30,30,50,1936.6829764497259,0,Simple
4,2,10000,30,30,50,3078.375219909813,0,Simple
0,3,1,30,30,50,9.213106878468663,0,Simple
1,3,10,30,30,50,10.569198671999734,0,Simple
2,3,100,30,30,50,26.559710571559116,0,Simple
3,3,1000,30,30,50,13.31966574026807,0,Simple
4,3,10000,30,30,50,6.591696477259874,0,Simple
0,4,1,30,30,50,39.826753868606446,0,Simple
1,4,10,30,30,50,44.98581135969884,0,Simple
2,4,100,30,30,50,43.35946603348643,0,Simple
3,4,1000,30,30,50,62.43732498627568,0,Simple
4,4,10000,30,30,50,48.88646683561826,0,Simple
0,5,1,30,30,50,411.4220903811553,0,Simple
1,5,10,30,30,50,341.3521097039588,0,Simple
2,5,100,30,30,50,357.3587049528595,0,Simple
3,5,1000,30,30,50,397.2361555931846,0,Simple
4,5,10000,30,30,50,157.60713465064202,0,Simple
0,6,1,30,30,50,416.4224957921105,0,Simple
1,6,10,30,30,50,399.80100475308853,0,Simple
2,6,100,30,30,50,397.90096127465625,0,Simple
3,6,1000,30,30,50,222.85322182294055,0,Simple
4,6,10000,30,30,50,304.0316497478828,0,Simple
0,7,1,30,30,50,67.85458776225859,0,Simple
1,7,10,30,30,50,68.40128226839106,0,Simple
2,7,100,30,30,50,72.8871500788483,0,Simple
3,7,1000,30,30,50,80.5049444430032,0,Simple
4,7,10000,30,30,50,39.532036060542865,0,Simple
0,8,1,30,30,50,72.41296329771895,0,Simple
1,8,10,30,30,50,61.58030589725047,0,Simple
2,8,100,30,30,50,75.99602196923937,0,Simple
3,8,1000,30,30,50,87.40775822254223,0,Simple
4,8,10000,30,30,50,152.33274912567333,0,Simple
0,9,1,30,30,50,11.858426029117727,0,Simple
1,9,10,30,30,50,232027644892.02322,0,Simple
2,9,100,30,30,50,61.41624558725343,0,Simple
3,9,1000,30,30,50,9.696777554267209,0,Simple
4,9,10000,30,30,50,49.62687667319616,0,Simple
0,10,1,30,30,50,225.09077331556804,0,Simple
1,10,10,30,30,50,226.1208354895369,0,Simple
2,10,100,30,30,50,232.81372846224755,0,Simple
3,10,1000,30,30,50,466.9827340065651,0,Simple
4,10,10000,30,30,50,391.09346785557756,0,Simple
0,11,1,30,30,50,753.1481218495632,0,Simple
1,11,10,30,30,50,1179.5926063003128,0,Simple
2,11,100,30,30,50,865.0085126930886,0,Simple
3,11,1000,30,30,50,1404.3603285388524,0,Simple
4,11,10000,30,30,50,748.4478216293677,0,Simple
0,12,1,30,30,50,108460.09612242178,0,Simple
1,12,10,30,30,50,4.029366873004714,0,Simple
2,12,100,30,30,50,3.1998158106596937,0,Simple
3,12,1000,30,30,50,2.5178674624397814,0,Simple
4,12,10000,30,30,50,3.539234260288372,0,Simple
0,13,1,30,30,50,1102.6523870938918,0,Simple
1,13,10,30,30,50,1073.1375486040408,0,Simple
2,13,100,30,30,50,955.2244892426364,0,Simple
3,13,1000,30,30,50,1314.1704056041553,0,Simple
4,13,10000,30,30,50,2194.7363580022043,0,Simple
0,14,1,30,30,50,12.340715153539092,0,Simple
1,14,10,30,30,50,172736.21182018405,0,Simple
2,14,100,30,30,50,12.369188372402009,0,Simple
3,14,1000,30,30,50,56.693996976718964,0,Simple
4,14,10000,30,30,50,12.782940103352972,0,Simple
0,15,1,30,30,50,734.8863562950387,0,Simple
1,15,10,30,30,50,762.8730949595691,0,Simple
2,15,100,30,30,50,787.9556484714451,0,Simple
3,15,1000,30,30,50,887.8052623157195,0,Simple
4,15,10000,30,30,50,2716.8935368253105,0,Simple
0,16,1,30,30,50,3.6008966435586087,0,Simple
1,16,10,30,30,50,3.8702053043210287,0,Simple
2,16,100,30,30,50,1.738631008818825,0,Simple
3,16,1000,30,30,50,1.5180670972072396,0,Simple
4,16,10000,30,30,50,1.7840841966971903,0,Simple
0,17,1,30,30,50,1827.163536858578,0,Simple
1,17,10,30,30,50,1754.4181241869096,0,Simple
2,17,100,30,30,50,1825.3398451625394,0,Simple
3,17,1000,30,30,50,2937.3939198902444,0,Simple
4,17,10000,30,30,50,60312.93686759026,0,Simple
0,18,1,30,30,50,48.97365762827441,0,Simple
1,18,10,30,30,50,49.09586772451449,0,Simple
2,18,100,30,30,50,51.45823683113874,0,Simple
3,18,1000,30,30,50,47.54305489567363,0,Simple
4,18,10000,30,30,50,13.580802228315191,0,Simple
0,19,1,30,30,50,8526561.223826656,0,Simple
1,19,10,30,30,50,1259894.9652594298,0,Simple
2,19,100,30,30,50,1013.4549074255785,0,Simple
3,19,1000,30,30,50,1218.2080154870564,0,Simple
4,19,10000,30,30,50,1274.8721921876547,0,Simple
0,20,1,30,30,50,423996.0099318257,0,Simple
1,20,10,30,30,50,474423.1843098766,0,Simple
2,20,100,30,30,50,392915.230482527,0,Simple
3,20,1000,30,30,50,417686.8489830284,0,Simple
4,20,10000,30,30,50,868903.5052243507,0,Simple
0,21,1,30,30,50,12.758130553243811,0,Simple
1,21,10,30,30,50,76.0771480532144,0,Simple
2,21,100,30,30,50,18.329284345839593,0,Simple
3,21,1000,30,30,50,16.511752515394765,0,Simple
4,21,10000,30,30,50,10.208598455166815,0,Simple
0,22,1,30,30,50,13.480997236777593,0,Simple
1,22,10,30,30,50,12.851950423073983,0,Simple
2,22,100,30,30,50,14.48773121174002,0,Simple
3,22,1000,30,30,50,14.616584065808272,0,Simple
4,22,10000,30,30,50,16.109357354578755,0,Simple
0,23,1,30,30,50,421.0633047991677,0,Simple
1,23,10,30,30,50,66257865.54502072,0,Simple
2,23,100,30,30,50,328.79022684896614,0,Simple
3,23,1000,30,30,50,753.8333036228438,0,Simple
4,23,10000,30,30,50,715.7688624497608,0,Simple
0,24,1,30,30,50,352.0426875849453,0,Simple
1,24,10,30,30,50,465.3434963752481,0,Simple
2,24,100,30,30,50,243.5689584269391,0,Simple
3,24,1000,30,30,50,425.4343975884261,0,Simple
4,24,10000,30,30,50,283.12962080551426,0,Simple
0,25,1,30,30,50,1846722.417292954,0,Simple
1,25,10,30,30,50,8354.248835848537,0,Simple
2,25,100,30,30,50,433.5295745490572,0,Simple
3,25,1000,30,30,50,369.8756665808348,0,Simple
4,25,10000,30,30,50,1116.0090438112436,0,Simple
0,26,1,30,30,50,15.554836373338365,0,Simple
1,26,10,30,30,50,15.819307269253018,0,Simple
2,26,100,30,30,50,17.438309377635413,0,Simple
3,26,1000,30,30,50,11.309039614876816,0,Simple
4,26,10000,30,30,50,10.512889220783547,0,Simple
0,27,1,30,30,50,1673.953385664974,0,Simple
1,27,10,30,30,50,1484.7613383633736,0,Simple
2,27,100,30,30,50,1646.655578954595,0,Simple
3,27,1000,30,30,50,2455.0160207320496,0,Simple
4,27,10000,30,30,50,2749.6285750659436,0,Simple
0,28,1,30,30,50,2.53850196668352,0,Simple
1,28,10,30,30,50,2.4750091098203906,0,Simple
2,28,100,30,30,50,3.510901515509047,0,Simple
3,28,1000,30,30,50,1.507426015107472,0,Simple
4,28,10000,30,30,50,1.098937360486171,0,Simple
0,29,1,30,30,50,19.85300963656158,0,Simple
1,29,10,30,30,50,20.17446982899965,0,Simple
2,29,100,30,30,50,25.143713708133237,0,Simple
3,29,1000,30,30,50,74.60378901588443,0,Simple
4,29,10000,30,30,50,12.86822376596037,0,Simple
