,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
0,0,1,6,6,50,3.6087288704314218,0,LR
1,0,10,6,6,50,8.339810068918853e-07,0,LR
2,0,100,6,6,50,2.388138720740942e-07,0,LR
3,0,1000,6,6,50,1.4207110626258918e-07,0,LR
4,0,10000,6,6,50,1.5483401875337022e-07,0,LR
0,1,1,6,6,50,15.02262741681409,0,LR
1,1,10,6,6,50,2.0371332717069674e-07,0,LR
2,1,100,6,6,50,1.6586718285600044e-07,0,LR
3,1,1000,6,6,50,1.2652712351874873e-07,0,LR
4,1,10000,6,6,50,1.4696371005879496e-07,0,LR
0,2,1,6,6,50,0.7363327002911216,0,LR
1,2,10,6,6,50,1.3791900196594908e-07,0,LR
2,2,100,6,6,50,3.98773903948997e-08,0,LR
3,2,1000,6,6,50,3.363800510275783e-08,0,LR
4,2,10000,6,6,50,2.5654247838326175e-08,0,LR
0,3,1,6,6,50,39.2159847684407,0,LR
1,3,10,6,6,50,8.533325415173518e-06,0,LR
2,3,100,6,6,50,4.244081887936885e-06,0,LR
3,3,1000,6,6,50,3.9662208888853195e-06,0,LR
4,3,10000,6,6,50,3.7912368049099572e-06,0,LR
0,4,1,6,6,50,38.143391686361575,0,LR
1,4,10,6,6,50,4.538852143859319e-06,0,LR
2,4,100,6,6,50,2.6225366590817768e-06,0,LR
3,4,1000,6,6,50,2.769773992354182e-06,0,LR
4,4,10000,6,6,50,2.1494437956520378e-06,0,LR
0,5,1,6,6,50,5959.923343788226,0,LR
1,5,10,6,6,50,1.033195094055977e-05,0,LR
2,5,100,6,6,50,5.659399331799455e-06,0,LR
3,5,1000,6,6,50,6.527973327102348e-06,0,LR
4,5,10000,6,6,50,6.169849039088708e-06,0,LR
0,6,1,6,6,50,10.462786238336598,0,LR
1,6,10,6,6,50,1.2952095390719682e-06,0,LR
2,6,100,6,6,50,9.72191064929135e-07,0,LR
3,6,1000,6,6,50,1.2313962775896992e-06,0,LR
4,6,10000,6,6,50,1.2449815436315884e-06,0,LR
0,7,1,6,6,50,1.8174217709011282,0,LR
1,7,10,6,6,50,1.1915620317323851e-07,0,LR
2,7,100,6,6,50,3.906039327771367e-08,0,LR
3,7,1000,6,6,50,3.707271184947463e-08,0,LR
4,7,10000,6,6,50,3.2088153808514304e-08,0,LR
0,8,1,6,6,50,0.5247703901428732,0,LR
1,8,10,6,6,50,2.3443046871391806e-07,0,LR
2,8,100,6,6,50,1.3324218726703906e-07,0,LR
3,8,1000,6,6,50,1.0187534208291729e-07,0,LR
4,8,10000,6,6,50,9.552832428246368e-08,0,LR
0,9,1,6,6,50,39.11699189361285,0,LR
1,9,10,6,6,50,4.7911358521181e-07,0,LR
2,9,100,6,6,50,2.5639697643729975e-07,0,LR
3,9,1000,6,6,50,2.4808567909316927e-07,0,LR
4,9,10000,6,6,50,2.643250752408718e-07,0,LR
0,10,1,6,6,50,6928.827918749744,0,LR
1,10,10,6,6,50,1.3118911237014112e-06,0,LR
2,10,100,6,6,50,7.374777924890186e-08,0,LR
3,10,1000,6,6,50,3.9263921182377746e-08,0,LR
4,10,10000,6,6,50,3.256383347051339e-08,0,LR
0,11,1,6,6,50,132.8631052560079,0,LR
1,11,10,6,6,50,1.7943088338422745e-07,0,LR
2,11,100,6,6,50,5.695859281049883e-08,0,LR
3,11,1000,6,6,50,4.307820533208931e-08,0,LR
4,11,10000,6,6,50,3.534037649220709e-08,0,LR
0,12,1,6,6,50,14.268050471013114,0,LR
1,12,10,6,6,50,8.051851822594377e-08,0,LR
2,12,100,6,6,50,3.415951703647873e-08,0,LR
3,12,1000,6,6,50,3.29437281872197e-08,0,LR
4,12,10000,6,6,50,3.496558676575091e-08,0,LR
0,13,1,6,6,50,25.63350531759494,0,LR
1,13,10,6,6,50,1.765334270171697e-06,0,LR
2,13,100,6,6,50,2.0552466886471796e-07,0,LR
3,13,1000,6,6,50,6.397869403478013e-08,0,LR
4,13,10000,6,6,50,4.5288482893210996e-08,0,LR
0,14,1,6,6,50,4.0735991110950325,0,LR
1,14,10,6,6,50,1.9172156045144775e-07,0,LR
2,14,100,6,6,50,5.2076223719453855e-08,0,LR
3,14,1000,6,6,50,4.7628204329464754e-08,0,LR
4,14,10000,6,6,50,4.856527972846955e-08,0,LR
0,15,1,6,6,50,4.817657640571718,0,LR
1,15,10,6,6,50,3.3210078883076537e-06,0,LR
2,15,100,6,6,50,2.2746424698944465e-06,0,LR
3,15,1000,6,6,50,1.8288886919599729e-06,0,LR
4,15,10000,6,6,50,1.9826669382360387e-06,0,LR
0,16,1,6,6,50,65.42811081385847,0,LR
1,16,10,6,6,50,2.034945191648906e-06,0,LR
2,16,100,6,6,50,1.3514141415095749e-06,0,LR
3,16,1000,6,6,50,1.3930509216619124e-06,0,LR
4,16,10000,6,6,50,1.4811060239028895e-06,0,LR
0,17,1,6,6,50,9.749742808459038,0,LR
1,17,10,6,6,50,2.2983568138938057e-07,0,LR
2,17,100,6,6,50,2.39653852648685e-07,0,LR
3,17,1000,6,6,50,2.2165857020774999e-07,0,LR
4,17,10000,6,6,50,2.226687017075788e-07,0,LR
0,18,1,6,6,50,0.5151619601054513,0,LR
1,18,10,6,6,50,3.2984952653281972e-06,0,LR
2,18,100,6,6,50,5.573829956500752e-07,0,LR
3,18,1000,6,6,50,3.868803023046726e-07,0,LR
4,18,10000,6,6,50,4.037127814521561e-07,0,LR
0,19,1,6,6,50,5.206849538819547,0,LR
1,19,10,6,6,50,6.931934274401826e-07,0,LR
2,19,100,6,6,50,3.5224823514726483e-07,0,LR
3,19,1000,6,6,50,2.965395394622486e-07,0,LR
4,19,10000,6,6,50,3.212249589756992e-07,0,LR
0,20,1,6,6,50,2522.1269160679394,0,LR
1,20,10,6,6,50,3.988255771793615e-05,0,LR
2,20,100,6,6,50,3.841173951553209e-05,0,LR
3,20,1000,6,6,50,2.8249686707267307e-05,0,LR
4,20,10000,6,6,50,3.105628826770191e-05,0,LR
0,21,1,6,6,50,46.0328905354579,0,LR
1,21,10,6,6,50,5.74611266481939e-06,0,LR
2,21,100,6,6,50,6.867298421133759e-07,0,LR
3,21,1000,6,6,50,3.684441704439381e-07,0,LR
4,21,10000,6,6,50,3.343476000902368e-07,0,LR
0,22,1,6,6,50,0.7458433044797985,0,LR
1,22,10,6,6,50,1.3061565328078416e-07,0,LR
