,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
3,19,1000,30,30,50,1.1910472235763574e-07,0,LR
4,19,10000,30,30,50,1.0860900288583767e-07,0,LR
0,20,1,30,30,50,2.345714232434189e+55,0,LR
1,20,10,30,30,50,0.04793336881736842,0,LR
2,20,100,30,30,50,3.8166991498865406e-07,0,LR
3,20,1000,30,30,50,3.385547675197678e-07,0,LR
4,20,10000,30,30,50,2.8651597009485154e-07,0,LR
0,21,1,30,30,50,1.1327225413825344e+16,0,LR
1,21,10,30,30,50,0.0004850941668176686,0,LR
2,21,100,30,30,50,1.6837665311042934e-07,0,LR
3,21,1000,30,30,50,5.15360206676134e-08,0,LR
4,21,10000,30,30,50,4.7696506061336404e-08,0,LR
0,22,1,30,30,50,3.4968039551329275e+45,0,LR
1,22,10,30,30,50,0.00027175847913086176,0,LR
2,22,100,30,30,50,1.8744363234922942e-06,0,LR
3,22,1000,30,30,50,1.8048713511545598e-06,0,LR
4,22,10000,30,30,50,1.725091364413898e-06,0,LR
0,23,1,30,30,50,1.1906093347316633e+81,0,LR
1,23,10,30,30,50,0.01652642958013694,0,LR
2,23,100,30,30,50,5.429689487519984e-06,0,LR
3,23,1000,30,30,50,1.4637837283221685e-06,0,LR
4,23,10000,30,30,50,1.1226568610430544e-06,0,LR
0,24,1,30,30,50,1.7403143702811469e+41,0,LR
1,24,10,30,30,50,0.0004835059747282718,0,LR
2,24,100,30,30,50,1.0422140845237181e-06,0,LR
3,24,1000,30,30,50,9.515877509076402e-07,0,LR
4,24,10000,30,30,50,8.191498782173177e-07,0,LR
0,25,1,30,30,50,1.360110800746088e+85,0,LR
1,25,10,30,30,50,0.004907600670988004,0,LR
2,25,100,30,30,50,8.454137607162855e-06,0,LR
3,25,1000,30,30,50,9.204744837097544e-06,0,LR
4,25,10000,30,30,50,7.549805380711899e-06,0,LR
0,26,1,30,30,50,2.389944563480861e+95,0,LR
1,26,10,30,30,50,0.0019512001553426716,0,LR
2,26,100,30,30,50,2.862130716226791e-07,0,LR
3,26,1000,30,30,50,1.9129655287308033e-07,0,LR
4,26,10000,30,30,50,2.196767506141409e-07,0,LR
0,27,1,30,30,50,1.4600446674763272e+63,0,LR
1,27,10,30,30,50,0.00023955209687753263,0,LR
2,27,100,30,30,50,5.705338399950061e-08,0,LR
3,27,1000,30,30,50,3.3863805630391214e-08,0,LR
4,27,10000,30,30,50,2.880423817629483e-08,0,LR
0,28,1,30,30,50,4.074727389380808e+50,0,LR
1,28,10,30,30,50,0.00011474776872833568,0,LR
2,28,100,30,30,50,1.1356564002402181e-06,0,LR
3,28,1000,30,30,50,9.928282442701015e-07,0,LR
4,28,10000,30,30,50,1.0220948110840043e-06,0,LR
0,29,1,30,30,50,2.2353024443634636e+66,0,LR
1,29,10,30,30,50,0.00015127620286050513,0,LR
2,29,100,30,30,50,2.660374955089893e-06,0,LR
3,29,1000,30,30,50,2.3060872566598617e-06,0,LR
4,29,10000,30,30,50,2.4739906272946615e-06,0,LR
